plot : a bunch of bad guys dressed up as elvis impersonators rob a vegas casino during a presley convention . 	Translation	Positive	Negative	EmotionRationale
the boys eventually get together to split the money , but as plans change , double-crosses occur , dealing and wheeling goes down and the crew set up for the road . 	the boys eventually get together to split the money , but as plans change , double-crosses occur , dealing and wheeling goes down and the crew set up for the road .	1	-1	 the[0] boys[0] eventually[0] get[0] together[0] to[0] split[0] the[0] money[0] but[0] as[0] plans[0] change[0] double[0] crosses[0] occur[0] dealing[0] and[0] wheeling[0] goes[0] down[0] and[0] the[0] crew[0] set[0] up[0] for[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who's on the up and up , who's the real bad guy and who's gonna get to bang courteney cox are just a few of the questions which will be answered by the rest of this movie . 	who's on the up and up , who's the real bad guy and who's gonna get to bang courteney cox are just a few of the questions which will be answered by the rest of this movie .	1	-2	 who's[0] on[0] the[0] up[0] and[0] up[0] who's[0] the[0] real[0] bad[-1] guy[0] and[0] who's[0] gonna[0] get[0] to[0] bang[0] courteney[0] cox[0] are[0] just[0] a[0] few[0] of[0] the[0] questions[0] which[0] will[0] be[0] answered[0] by[0] the[0] rest[0] of[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
critique : the funnest movie that i've seen so far this year ! 	critique : the funnest movie that i've seen so far this year !	2	-1	 critique[0] the[0] funnest[1] movie[0] that[0] i've[0] seen[0] so[0] far[0] this[0] year[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's got style , it's got tough guys talkin' shite and it's got plenty of bullets to go around . 	it's got style , it's got tough guys talkin' shite and it's got plenty of bullets to go around .	1	-2	 it's[0] got[0] style[0] it's[0] got[0] tough[-1] guys[0] talkin'[0] shite[-1] and[0] it's[0] got[0] plenty[0] of[0] bullets[-1] to[0] go[0] around[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a definite hunk-a-hunk-a burnin' adventure ! 	a definite hunk-a-hunk-a burnin' adventure !	1	-2	 a[0] definite[0] hunk[0] a[0] hunk[0] a[0] burnin'[-1] adventure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a guy's guy movie through and through , and one that'll set your jollies to high if you dig on the rough stuff . 	a guy's guy movie through and through , and one that'll set your jollies to high if you dig on the rough stuff .	3	-2	 a[0] guy's[0] guy[0] movie[0] through[0] and[0] through[0] and[0] one[0] that'll[0] set[0] your[0] jollies[2] to[0] high[0] if[0] you[0] dig[0] on[0] the[0] rough[-1] stuff[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's not very original , it goes on for a little too long , but costner and russell make it happen , as two shite-kickin' elvis lovers , who don't stop till they , more or less , drop . 	it's not very original , it goes on for a little too long , but costner and russell make it happen , as two shite-kickin' elvis lovers , who don't stop till they , more or less , drop .	4	-2	 it's[0] not[0] very[0] original[0] it[0] goes[0] on[0] for[0] a[0] little[0] too[0] long[0] but[0] costner[0] and[0] russell[0] make[0] it[0] happen[0] as[0] two[0] shite[-1] kickin'[-1] elvis[0] lovers[3] who[0] don't[0] stop[0] till[0] they[0] more[0] or[0] less[0] drop[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
this movie's got some pretty intensive shoot-out scenes , one of the coolest robbery scenarios that i've ever witnessed , featuring several elvises with guns a blazin' and the king's music playing in the background , and a decent helping of double-crosses , sharp dialogue and funny moments . 	this movie's got some pretty intensive shoot-out scenes , one of the coolest robbery scenarios that i've ever witnessed , featuring several elvises with guns a blazin' and the king's music playing in the background , and a decent helping of double-crosses , sharp dialogue and funny moments .	3	-2	 this[0] movie's[0] got[0] some[0] pretty[2][-1 LastWordBoosterStrength] intensive[0] shoot[-1] out[0] scenes[0] one[0] of[0] the[0] coolest[2] robbery[-1] scenarios[0] that[0] i've[0] ever[0] witnessed[0] featuring[0] several[0] elvises[0] with[0] guns[-1] a[0] blazin'[0] and[0] the[0] king's[0] music[0] playing[1] in[0] the[0] background[0] and[0] a[0] decent[0] helping[0] of[0] double[0] crosses[0] sharp[0] dialogue[0] and[0] funny[1] moments[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in fact , even though the cast is filled with many name actors ( b-actors as they might be for the most part ) , most of them do their bit and succeed well in passing the torch onto the next victim . 	in fact , even though the cast is filled with many name actors ( b-actors as they might be for the most part ) , most of them do their bit and succeed well in passing the torch onto the next victim .	3	-3	 in[0] fact[0] even[0] though[0] the[0] cast[0] is[0] filled[0] with[0] many[0] name[0] actors[0] b[0] actors[0] as[0] they[0] might[0] be[0] for[0] the[0] most[0] part[0] most[0] of[0] them[0] do[0] their[0] bit[0] and[0] succeed[2] well[0] in[0] passing[0] the[0] torch[0] onto[0] the[0] next[0] victim[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but the true glue that holds this film together , other than the spirit of elvis himself , is costner and russell , who play their badass characters to the t . sure , russell's been down this road before , but costner surprised me with his nastiness . 	but the true glue that holds this film together , other than the spirit of elvis himself , is costner and russell , who play their badass characters to the t .<br> sure , russell's been down this road before , but costner surprised me with his nastiness .	2	-3	 but[0] the[0] true[1] glue[0] that[0] holds[0] this[0] film[0] together[0] other[0] than[0] the[0] spirit[0] of[0] elvis[0] himself[0] is[0] costner[0] and[0] russell[0] who[0] play[0] their[0] badass[0] characters[0] to[0] the[0] t[0] [[Sentence=-1,2=word max, 1-5]] sure[0] russell's[0] been[0] down[0] this[0] road[0] before[0] but[0] costner[0] surprised[0] me[0] with[0] his[0] nastiness[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
i guess he's pissed at all the box-office bombs that he's been in of late , but he sure played a great unstable elvis impersonating robber here . 	i guess he's pissed at all the box-office bombs that he's been in of late , but he sure played a great unstable elvis impersonating robber here .	3	-3	 i[0] guess[0] he's[0] pissed[-2] at[0] all[0] the[0] box[0] office[0] bombs[-1] that[0] he's[0] been[0] in[0] of[0] late[0] but[0] he[0] sure[0] played[0] a[0] great[2] unstable[-1] elvis[0] impersonating[0] robber[-1] here[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the end , the bottom line with this movie is having fun , kickin' ass and making sure there's enough bubblegum around to chew afterwards . 	in the end , the bottom line with this movie is having fun , kickin' ass and making sure there's enough bubblegum around to chew afterwards .	2	-2	 in[0] the[0] end[0] the[0] bottom[0] line[0] with[0] this[0] movie[0] is[0] having[0] fun[1] kickin'[-1] ass[0] and[0] making[0] sure[0] there's[0] enough[0] bubblegum[0] around[0] to[0] chew[0] afterwards[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and smoke 'em if you got 'em , folks ! 	and smoke 'em if you got 'em , folks !	1	-1	 and[0] smoke[0] 'em[0] if[0] you[0] got[0] 'em[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is also this one really great show-down scene between costner and a cop , that'll have you crackin' up and lovin' it all at the same time . 	there is also this one really great show-down scene between costner and a cop , that'll have you crackin' up and lovin' it all at the same time .	4	-1	 there[0] is[0] also[0] this[0] one[0] really[0] great[2][1 LastWordBoosterStrength] show[0] down[0] scene[0] between[0] costner[0] and[0] a[0] cop[0] that'll[0] have[0] you[0] crackin'[0] up[0] and[0] lovin'[0] it[0] all[0] at[0] the[0] same[0] time[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the violent scenes in this movie are violent and the entire film is wrapped in a soundtrack that'll kick your arse from this end of the theatre to the next . 	the violent scenes in this movie are violent and the entire film is wrapped in a soundtrack that'll kick your arse from this end of the theatre to the next .	1	-3	 the[0] violent[-2] scenes[0] in[0] this[0] movie[0] are[0] violent[-2] and[0] the[0] entire[0] film[0] is[0] wrapped[0] in[0] a[0] soundtrack[0] that'll[0] kick[-1] your[0] arse[0] from[0] this[0] end[0] of[0] the[0] theatre[0] to[0] the[0] next[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it should actually come to no surprise to anyone that the director of this movie comes from a music video background , with plenty , and i mean plenty , of camera tricks , cuts and edits , but for this kind of flick , it actually works . 	it should actually come to no surprise to anyone that the director of this movie comes from a music video background , with plenty , and i mean plenty , of camera tricks , cuts and edits , but for this kind of flick , it actually works .	2	-2	 it[0] should[0] actually[0] come[0] to[0] no[0] surprise[0] to[0] anyone[0] that[0] the[0] director[0] of[0] this[0] movie[0] comes[0] from[0] a[0] music[0] video[0] background[0] with[0] plenty[0] and[0] i[0] mean[0] plenty[0] of[0] camera[0] tricks[-1] cuts[0] and[0] edits[0] but[0] for[0] this[0] kind[1] of[0] flick[0] it[0] actually[0] works[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is not perfect though , it starts off with a pretty big bang , but then pulls a way of the gun on us , and slows the pace down somewhat in the middle , while characters intermingle and disperse . 	the film is not perfect though , it starts off with a pretty big bang , but then pulls a way of the gun on us , and slows the pace down somewhat in the middle , while characters intermingle and disperse .	3	-2	 the[0] film[0] is[0] not[0] perfect[1][NegatedDueToPreviousWord] though[0] it[0] starts[0] off[0] with[0] a[0] pretty[2] big[0] bang[0] but[0] then[0] pulls[0] a[0] way[0] of[0] the[0] gun[-1] on[0] us[0] and[0] slows[0] the[0] pace[0] down[0] somewhat[0] in[0] the[0] middle[0] while[0] characters[0] intermingle[0] and[0] disperse[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i was personally kept in the game despite some soft spots , and enjoyed the overall ride for what it was as well . 	i was personally kept in the game despite some soft spots , and enjoyed the overall ride for what it was as well .	3	-1	 i[0] was[0] personally[0] kept[0] in[0] the[0] game[0] despite[0] some[0] soft[0] spots[0] and[0] enjoyed[2] the[0] overall[0] ride[0] for[0] what[0] it[0] was[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and did i mention that courteney cox looked mega-hot in the movie ? 	and did i mention that courteney cox looked mega-hot in the movie ?	1	-1	 and[0] did[0] i[0] mention[0] that[0] courteney[0] cox[0] looked[0] mega[0] hot[0] in[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no . . . okay , 	no .<br> .<br> .<br> okay ,	1	-1	 no[0] [[Sentence=-1,1=word max, 1-5]] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well i just did ! 	well i just did !	1	-1	 well[0] i[0] just[0] did[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i coulda done without her whole " romance " angle , but to be honest , it doesn't take up much of the film , which is generally covered in blood , explosions , guts and elvis nods . 	i coulda done without her whole " romance " angle , but to be honest , it doesn't take up much of the film , which is generally covered in blood , explosions , guts and elvis nods .	4	-2	 i[0] coulda[0] done[0] without[0] her[0] whole[0] romance[3] angle[0] but[0] to[0] be[0] honest[0] it[0] doesn't[0] take[0] up[0] much[0] of[0] the[0] film[0] which[0] is[0] generally[0] covered[0] in[0] blood[0] explosions[-1] guts[0] and[0] elvis[0] nods[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
try to see how many " inside " connections to the king you can guess . 	try to see how many " inside " connections to the king you can guess .	1	-1	 try[0] to[0] see[0] how[0] many[0] inside[0] connections[0] to[0] the[0] king[0] you[0] can[0] guess[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
