barely scrapping by playing at a nyc piano bar , timothy hutton returns to his massachusetts hometown for a couple of weeks . 	Translation	Positive	Negative	EmotionRationale
on the surface , he's coming home for a high school reunion , but since this is a movie , you know that he's really looking for some major life decisions . 	on the surface , he's coming home for a high school reunion , but since this is a movie , you know that he's really looking for some major life decisions .	1	-1	 on[0] the[0] surface[0] he's[0] coming[0] home[0] for[0] a[0] high[0] school[0] reunion[0] but[0] since[0] this[0] is[0] a[0] movie[0] you[0] know[0] that[0] he's[0] really[0] looking[0] for[0] some[0] major[0] life[0] decisions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a fairly " small " film , this sports an impressive ensemble cast including uma thurman , rosie o'donnell and a bunch of actors that you've seen before but can't quite place . 	a fairly " small " film , this sports an impressive ensemble cast including uma thurman , rosie o'donnell and a bunch of actors that you've seen before but can't quite place .	2	-1	 a[0] fairly[0] small[0] film[0] this[0] sports[0] an[0] impressive[1] ensemble[0] cast[0] including[0] uma[0] thurman[0] rosie[0] o'donnell[0] and[0] a[0] bunch[0] of[0] actors[0] that[0] you've[0] seen[0] before[0] but[0] can't[0] quite[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
commendable jobs all around ; they seem like real people . 	commendable jobs all around ; they seem like real people .	2	-1	 commendable[0] jobs[0] all[0] around[0] they[0] seem[0] like[1] real[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hutton arrives at his past and is greeted by his spirit-dead father , terminally goony brother and old high school chums . 	hutton arrives at his past and is greeted by his spirit-dead father , terminally goony brother and old high school chums .	1	-3	 hutton[0] arrives[0] at[0] his[0] past[0] and[0] is[0] greeted[0] by[0] his[0] spirit[0] dead[-2] father[0] terminally[0] goony[0] brother[0] and[0] old[0] high[0] school[0] chums[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all of his old buddies are engaged in the snow removal business and most are in the midst of a relationship crisis . 	all of his old buddies are engaged in the snow removal business and most are in the midst of a relationship crisis .	1	-3	 all[0] of[0] his[0] old[0] buddies[0] are[0] engaged[0] in[0] the[0] snow[0] removal[0] business[0] and[0] most[0] are[0] in[0] the[0] midst[0] of[0] a[0] relationship[0] crisis[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the perfect stuff for a comedy about people in the twenties angst . 	the perfect stuff for a comedy about people in the twenties angst .	2	-1	 the[0] perfect[1] stuff[0] for[0] a[0] comedy[0] about[0] people[0] in[0] the[0] twenties[0] angst[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he meets and falls for the new next door neighbor : a beautiful intelligent lively girl who is obviously taken with him . 	he meets and falls for the new next door neighbor : a beautiful intelligent lively girl who is obviously taken with him .	3	-1	 he[0] meets[0] and[0] falls[0] for[0] the[0] new[0] next[0] door[0] neighbor[0] a[0] beautiful[2] intelligent[1] lively[1] girl[0] who[0] is[0] obviously[0] taken[0] with[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem is that she is only 13 . 	the problem is that she is only 13 .	1	-2	 the[0] problem[-1] is[0] that[0] she[0] is[0] only[0] 13[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unconsummated ( no , it's not _that_ type of movie ) , their relationship builds and neither knows what to do with it . 	unconsummated ( no , it's not _that_ type of movie ) , their relationship builds and neither knows what to do with it .	1	-1	 unconsummated[0] no[0] it's[0] not[0] _that_[0] type[0] of[0] movie[0] their[0] relationship[0] builds[0] and[0] neither[0] knows[0] what[0] to[0] do[0] with[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
star-crossed lovers with no where to go . 	star-crossed lovers with no where to go .	4	-1	 star[0] crossed[0] lovers[3] with[0] no[0] where[0] to[0] go[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
