the american action film has been slowly drowning to death in a sea of asian wire-fu copycats . 	Translation	Positive	Negative	EmotionRationale
it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea . 	it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van dame wearing cement galoshes at the bottom of a kung fu sea .	3	-4	 it's[0] not[0] a[0] pretty[2][NegatedDueToPreviousWord] death[-2][-1 MultiplePositiveWords] and[0] it's[0] leaving[0] the[0] likes[2] of[0] schwartznager[0] stallone[0] and[0] van[0] damme/dame[0] wearing[0] cement[0] galoshes[0] at[0] the[0] bottom[0] of[0] a[0] kung[0] fu[0] sea[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
sometimes , the mix results in a mind-blowing spectacle unlike any other . 	sometimes , the mix results in a mind-blowing spectacle unlike any other .	1	-1	 sometimes[0] the[0] mix[0] results[0] in[0] a[0] mind[0] blowing[0] spectacle[0] unlike[0] any[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem . 	quality action with amazing and exciting stunt work , as in 199's the matrix , can be a real gem .	3	-2	 quality[0] action[0] with[0] amazing[2] and[0] exciting[2] stunt[-1] work[0] as[0] in[0] 1999's/199's[0] the[0] matrix[0] can[0] be[0] a[0] real[0] gem[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but too often hollywood gets it wrong , even when they pay off chinese directors . 	but too often hollywood gets it wrong , even when they pay off chinese directors .	1	-2	 but[0] too[0] often[0] hollywood[0] gets[0] it[0] wrong[-1] even[0] when[0] they[0] pay[0] off[0] chinese[0] directors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists . 	flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists .	1	-2	 flying[0] ninjas[0] and[0] floating[0] karate[0] masters[0] have[0] been[0] replaced[0] by[0] soaring[0] bronx[0] detectives[0] and[0] slow[0] motion[0] kicking[-1] scientists[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mostly it's laughable . 	mostly it's laughable .	1	-2	 mostly[0] it's[0] laughable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form . 	in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form .	3	-3	 in[0] hollywood's[0] rush[0] to[0] emulate[0] the[0] success[2] of[0] the[0] matrix[0] trademark[0] asian[0] stunt[-1] choreography[-2] has[0] become[0] more[0] of[0] a[0] joke[1] than[0] an[0] art[0] form[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
but iron monkey , the latest asian import , shows us how to get it right . 	but iron monkey , the latest asian import , shows us how to get it right .	1	-1	 but[0] iron[0] monkey[0] the[0] latest[0] asian[0] import[0] shows[0] us[0] how[0] to[0] get[0] it[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry . 	iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry .	1	-3	 iron[0] monkey[0] actually[0] a[0] reissue[0] of[0] a[0] 1993[0] film[0] is[0] the[0] story[0] of[0] a[0] 19th[0] chinese[0] vigilante[0] rongguang[0] yu[0] fighting[-2] with[0] his[0] own[0] unique[0] style[0] of[0] shaolin[0] kung[0] fu[0] for[0] the[0] rights[0] of[0] the[0] oppressed[-2] and[0] the[0] bellies[0] of[0] the[0] hungry[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) . 	but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 200 , drunken master 2 ( released in the you .<br> s .<br> as the legend of drunken master ) .	3	-2	 but[0] it[0] is[0] also[0] a[0] piece[0] of[0] the[0] narrative[0] of[0] legendary[0] chinese[0] film[0] hero[2] wong[0] fei[0] hong[0] most[0] recently[0] seen[0] in[0] one[0] of[0] the[0] most[0] overlooked[-1] and[0] possibly[0] best[1] films[0] of[0] 2000/200[0] drunken[-1] master[0] 2[0] released[0] in[0] the[0] u[0] [[Sentence=-2,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] as[0] the[0] legend[0] of[0] drunken[-1] master[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression . 	unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression .	1	-3	 unlike[0] drunken[-1] master[0] 2[0] which[0] stars[0] jackie[0] chan[0] as[0] an[0] adult[0] fei[0] hong[0] iron[0] monkey[0] finds[0] a[0] much[0] younger[0] fei[0] hong[0] sze[0] man[0] tsang[0] and[0] his[0] father[0] wong[0] kei[0] ying[0] yen[0] chi[0] dan[0] thrust[0] into[0] the[0] middle[0] of[0] iron[0] monkey's[0] fight[-2] against[-1] oppression[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth . 	iron monkey succeeds as no kung fu film since drunken master 2 .<br> at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth .	3	-3	 iron[0] monkey[0] succeeds[2] as[0] no[0] kung[0] fu[0] film[0] since[0] drunken[-1] master[0] 2[0] [[Sentence=-2,3=word max, 1-5]] at[0] times[0] fighting[-2] styles[0] especially[0] that[0] of[0] monkey[0] himself[0] do[0] devolve[0] into[0] the[0] ridiculous[-2] twinkle[0] toed[0] floating[0] of[0] films[0] like[1] crouching[0] tiger[0] hidden[0] dragon[0] director[0] yuen[0] wo[0] ping[0] eventually[0] remembers[0] to[0] bring[0] his[0] action[0] scenes[0] back[0] to[0] earth[0] [[Sentence=-3,2=word max, 1-5]][[[3,-3 max of sentences]]]
iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger . 	iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger .	2	-1	 iron[0] monkey[0] is[0] at[0] its[0] heart[0] a[0] hardcore[0] kung[0] fu[0] action[0] film[0] rather[0] than[0] any[0] kind[1] of[0] drama[0] a[0] la[0] crouching[0] tiger[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox . 	however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox .	3	-2	 however[0] there[0] are[0] brief[0] moments[0] of[0] profoundness[0] shared[0] between[0] characters[0] such[0] as[0] those[0] that[0] pass[0] between[0] our[0] outlaw[-1] hero[2] and[0] his[0] good[1] hearted[0] but[0] misguided[0] enemy[-1] chief[0] fox[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience . 	in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience .	1	-1	 in[0] those[0] moments[0] and[0] in[0] others[0] iron[0] monkey[0] manages[0] to[0] transcend[0] its[0] mindless[0] kung[0] fu[0] nature[0] to[0] touch[0] the[0] hearts[0] and[0] minds[0] of[0] its[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune . 	while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune .	2	-2	 while[0] in[0] no[0] way[0] the[0] equal[0] of[0] a[0] masterpiece[0] like[1] drunken[-1] master[0] 2[0] iron[0] monkey[0] dances[0] quite[0] nicely[1] to[0] the[0] invading[0] kung[0] fu[0] tune[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
aka siunin wong fei-hung tsi titmalau . 	aka siunin wong fei-hung tsi titmalau .	1	-1	 aka[0] siunin[0] wong[0] fei[0] hung[0] tsi[0] titmalau[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
