note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
east meets west in mulan , the latest installment in disney's parade of annual animated feature films . 	east meets west in mulan , the latest instalment in disney's parade of annual animated feature films .	1	-1	 east[0] meets[0] west[0] in[0] mulan[0] the[0] latest[0] installment/instalment[0] in[0] disney's[0] parade[0] of[0] annual[0] animated[0] feature[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an odd fusion of ancient asian traditions and disconcerting elements which betray obvious mass-market commercial sensibilities , this confident entry is easily the most engaging and satisfying hollywood animated feature in years , but falls short of actualizing its potential . 	an odd fusion of ancient asian traditions and disconcerting elements which betray obvious mass-market commercial sensibilities , this confident entry is easily the most engaging and satisfying hollywood animated feature in years , but falls short of actualizing its potential .	2	-3	 an[0] odd[0] fusion[0] of[0] ancient[0] asian[0] traditions[0] and[0] disconcerting[0] elements[0] which[0] betray[-2] obvious[0] mass[0] market[0] commercial[0] sensibilities[0] this[0] confident[1] entry[0] is[0] easily[0] the[0] most[0] engaging[0] and[0] satisfying[1] hollywood[0] animated[0] feature[0] in[0] years[0] but[0] falls[0] short[0] of[0] actualizing[0] its[0] potential[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
though not for lack of trying . 	though not for lack of trying .	2	-1	 though[0] not[0] for[0] lack[-1][NegatedDueToPreviousWord] of[0] trying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in many respects , mulan is among disney's most mature efforts , skirting the surface of adult themes and daring to sneak glimpses into the messier side of combat . 	in many respects , mulan is among disney's most mature efforts , skirting the surface of adult themes and daring to sneak glimpses into the messier side of combat .	3	-2	 in[0] many[0] respects[2] mulan[0] is[0] among[0] disney's[0] most[0] mature[0] efforts[0] skirting[0] the[0] surface[0] of[0] adult[0] themes[0] and[0] daring[0] to[0] sneak[-1] glimpses[0] into[0] the[0] messier[0] side[0] of[0] combat[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the violence of the battles in the film are admittedly sanitized -- the imagery of a pillaged village , neatly encapsulated in the form of a child's discarded doll , is in itself no more harrowing than luke discovering his fallen guardians in star wars , and mulan's later heroics in dispatching of the ruthless invaders is done so in the most tidy , bloodless method imaginable -- yet how often does a hollywood animated film , long considered as the last safe refuge for the innocent , dare touch upon the consequential horrors of war in such a provocative manner ? 	the violence of the battles in the film are admittedly sanitized - the imagery of a pillaged village , neatly encapsulated in the form of a child's discarded doll , is in itself no more harrowing than luke discovering his fallen guardians in star wars , and mulan's later heroics in dispatching of the ruthless invaders is done so in the most tidy , bloodless method imaginable - yet how often does a hollywood animated film , long considered as the last safe refuge for the innocent , dare touch upon the consequential horrors of war in such a provocative manner ?	3	-4	 the[0] violence[-3] of[0] the[0] battles[-1] in[0] the[0] film[0] are[0] admittedly[0] sanitized[0] the[0] imagery[0] of[0] a[0] pillaged[0] village[0] neatly[0] encapsulated[0] in[0] the[0] form[0] of[0] a[0] child's[0] discarded[0] doll[0] is[0] in[0] itself[0] no[0] more[0] harrowing[0] than[0] luke[0] discovering[0] his[0] fallen[0] guardians[0] in[0] star[0] wars[-2] and[0] mulan's[0] later[0] heroics[2] in[0] dispatching[0] of[0] the[0] ruthless[-2] invaders[-1] is[0] done[0] so[0] in[0] the[0] most[0] tidy[0] bloodless[0] method[0] imaginable[0] yet[0] how[0] often[0] does[0] a[0] hollywood[0] animated[0] film[0] long[0] considered[0] as[0] the[0] last[0] safe[1] refuge[0] for[0] the[0] innocent[1] dare[0] touch[0] upon[0] the[0] consequential[0] horrors[-3] of[0] war[-2] in[0] such[0] a[0] provocative[0] manner[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
in an instant , idealistic mulan's innocence is lost , and her jovial squadron are reminded of what their efforts are spent defending . 	in an instant , idealistic mulan's innocence is lost , and her jovial squadron are reminded of what their efforts are spent defending .	2	-1	 in[0] an[0] instant[0] idealistic[0] mulan's[0] innocence[1] is[0] lost[0] and[0] her[0] jovial[0] squadron[0] are[0] reminded[0] of[0] what[0] their[0] efforts[0] are[0] spent[0] defending[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film , based upon an ancient chinese fable , centers on a spirited young woman who disguises herself as a man in order to serve as her family's obligatory conscript when china finds itself under attack by huns ( cartoonishly depicted by easy demonic overtones , replete with glowing yellow eyes and dagger-edged teeth , although lent a surprisingly genuine sense of menace ) . 	the film , based upon an ancient chinese fable , centers on a spirited young woman who disguises herself as a man in order to serve as her family's obligatory conscript when china finds itself under attack by huns ( cartoonishly depicted by easy demonic overtones , replete with glowing yellow eyes and dagger-edged teeth , although lent a surprisingly genuine sense of menace ) .	1	-3	 the[0] film[0] based[0] upon[0] an[0] ancient[0] chinese[0] fable[0] centers[0] on[0] a[0] spirited[0] young[0] woman[0] who[0] disguises[0] herself[0] as[0] a[0] man[0] in[0] order[0] to[0] serve[0] as[0] her[0] family's[0] obligatory[0] conscript[0] when[0] china[0] finds[0] itself[0] under[0] attack[-2] by[0] huns[0] cartoonishly[0] depicted[0] by[0] easy[0] demonic[0] overtones[0] replete[0] with[0] glowing[0] yellow[0] eyes[0] and[0] dagger[0] edged[0] teeth[0] although[0] lent[0] a[0] surprisingly[0] genuine[0] sense[0] of[0] menace[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
dipping into the mythology of other cultures for the first time after cavorting in animated revisitings of familiar western / european fables and literature for decades , disney's new film is boldly set in ancient china rather than relocated elsewhere , story intact , to some neutral territory , and revels in its east asian roots ; aside from a predominantly asian-american cast providing the film's vocal work , there's liberal usage of oriental iconography throughout , and the artwork reveal hints of japanese anime influence . 	dipping into the mythology of other cultures for the first time after cavorting in animated revisitings of familiar western / european fables and literature for decades , disney's new film is boldly set in ancient china rather than relocated elsewhere , story intact , to some neutral territory , and revels in its east asian roots ; aside from a predominantly asian-american cast providing the film's vocal work , there's liberal usage of oriental iconography throughout , and the artwork reveal hints of japanese anime influence .	1	-1	 dipping[0] into[0] the[0] mythology[0] of[0] other[0] cultures[0] for[0] the[0] first[0] time[0] after[0] cavorting[0] in[0] animated[0] revisitings[0] of[0] familiar[0] western[0] /[0] european[0] fables[0] and[0] literature[0] for[0] decades[0] disney's[0] new[0] film[0] is[0] boldly[0] set[0] in[0] ancient[0] china[0] rather[0] than[0] relocated[0] elsewhere[0] story[0] intact[0] to[0] some[0] neutral[0] territory[0] and[0] revels[0] in[0] its[0] east[0] asian[0] roots[0] aside[0] from[0] a[0] predominantly[0] asian[0] american[0] cast[0] providing[0] the[0] film's[0] vocal[0] work[0] there's[0] liberal[0] usage[0] of[0] oriental[0] iconography[0] throughout[0] and[0] the[0] artwork[0] reveal[0] hints[0] of[0] japanese[0] anime[0] influence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the film does occasionally reach its limits and starts to tread upon old stereotypes -- invoking pseudo-asian references to items like beancurd and rice in every third sentence grows rather hoary , and i can't imagine that the regiment for ancient chinese warriors * really * included karate-chopping blocks of stone in two -- it's rather remarkable that a movie primarily positioned for american and european audiences delves so wholeheartedly into new foreign territory . 	while the film does occasionally reach its limits and starts to tread upon old stereotypes - invoking pseudo-asian references to items like beancurd and rice in every third sentence grows rather hoary , and i can't imagine that the regiment for ancient chinese warriors * really * included karate-chopping blocks of stone in two - it's rather remarkable that a movie primarily positioned for american and european audiences delves so wholeheartedly into new foreign territory .	2	-2	 while[0] the[0] film[0] does[0] occasionally[0] reach[0] its[0] limits[0] and[0] starts[0] to[0] tread[0] upon[0] old[0] stereotypes[0] invoking[0] pseudo[0] asian[0] references[0] to[0] items[0] like[1] beancurd[0] and[0] rice[0] in[0] every[0] third[0] sentence[0] grows[0] rather[0] hoary[0] and[0] i[0] can't[0] imagine[0] that[0] the[0] regiment[0] for[0] ancient[0] chinese[0] warriors[0] really[0] included[0] karate[0] chopping[0] blocks[-1] of[0] stone[0] in[0] two[0] it's[0] rather[0] remarkable[0] that[0] a[0] movie[0] primarily[0] positioned[0] for[0] american[0] and[0] european[0] audiences[0] delves[0] so[0] wholeheartedly[0] into[0] new[0] foreign[-1] territory[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film also freely touches upon cultural idiosyncrasies from its outset ; although savvy viewers should easily pick up on the intrinsics immediately , it's startlingly assertive in providing as little shorthand as it does to unfamiliar youngsters with regards to the customs and traditions of mulan's land . 	the film also freely touches upon cultural idiosyncrasies from its outset ; although savy viewers should easily pick up on the intrinsics immediately , it's startlingly assertive in providing as little shorthand as it does to unfamiliar youngsters with regards to the customs and traditions of mulan's land .	1	-2	 the[0] film[0] also[0] freely[0] touches[0] upon[0] cultural[0] idiosyncrasies[0] from[0] its[0] outset[0] although[0] savvy/savy[0] viewers[0] should[0] easily[0] pick[0] up[0] on[0] the[0] intrinsics[0] immediately[0] it's[0] startlingly[-1] assertive[0] in[0] providing[0] as[0] little[0] shorthand[0] as[0] it[0] does[0] to[0] unfamiliar[-1] youngsters[0] with[0] regards[0] to[0] the[0] customs[0] and[0] traditions[0] of[0] mulan's[0] land[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at its core , the film is a tale of heroic adventure , and as such paints its story in bold strokes of honour , perseverance , nobility and courage . 	at its core , the film is a tale of heroic adventure , and as such paints its story in bold strokes of honour , perseverance , nobility and courage .	3	-1	 at[0] its[0] core[0] the[0] film[0] is[0] a[0] tale[0] of[0] heroic[2] adventure[0] and[0] as[0] such[0] paints[0] its[0] story[0] in[0] bold[0] strokes[0] of[0] honour[0] perseverance[0] nobility[0] and[0] courage[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as such , animation is the perfect vehicle for this flavour of epic , where stark emotional simplicity is able to effectively work hand-in-hand with visual purity . 	as such , animation is the perfect vehicle for this flavour of epic , where stark emotional simplicity is able to effectively work hand-in-hand with visual purity .	2	-2	 as[0] such[0] animation[0] is[0] the[0] perfect[1] vehicle[0] for[0] this[0] flavour[0] of[0] epic[0] where[0] stark[-1] emotional[-1] simplicity[0] is[0] able[0] to[0] effectively[0] work[0] hand[0] in[0] hand[0] with[0] visual[0] purity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
