in one scene from " the people vs . 	Translation	Positive	Negative	EmotionRationale
larry flynt , " the hustler magazine publisher appears at a self-staged free speech rally . 	larry flynt , " the hustler magazine publisher appears at a self-staged free speech rally .	1	-2	 larry[0] flynt[0] the[0] hustler[-1] magazine[0] publisher[0] appears[0] at[0] a[0] self[0] staged[0] free[0] speech[0] rally[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as graphic photos flash on a huge screen behind him , flynt strides confidently across the stage , delivering a rousing speech over what really constitutes obscenity . 	as graphic photos flash on a huge screen behind him , flynt strides confidently across the stage , delivering a rousing speech over what really constitutes obscenity .	2	-1	 as[0] graphic[0] photos[0] flash[0] on[0] a[0] huge[0] screen[0] behind[0] him[0] flynt[0] strides[0] confidently[1] across[0] the[0] stage[0] delivering[0] a[0] rousing[0] speech[0] over[0] what[0] really[0] constitutes[0] obscenity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the spectacle was reminiscent of the scene in " patton " where the general spoke in front of a giant american flag . 	the spectacle was reminiscent of the scene in " patton " where the general spoke in front of a giant american flag .	1	-1	 the[0] spectacle[0] was[0] reminiscent[0] of[0] the[0] scene[0] in[0] patton[0] where[0] the[0] general[0] spoke[0] in[0] front[0] of[0] a[0] giant[0] american[0] flag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both scenes were stirring , larger than life , richly entertaining , and felt totally like contrived set pieces for big hollywood movies . 	both scenes were stirring , larger than life , richly entertaining , and felt totally like contrived set pieces for big hollywood movies .	3	-1	 both[0] scenes[0] were[0] stirring[0] larger[0] than[0] life[0] richly[0] entertaining[0] and[0] felt[0] totally[0] like[1][1 LastWordBoosterStrength] contrived[0] set[0] pieces[0] for[0] big[0] hollywood[0] movies[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
overall , that sums up " the people vs . 	overall , that sums up " the people vs .	1	-1	 overall[0] that[0] sums[0] up[0] the[0] people[0] vs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
larry flynt . " 	larry flynt .<br> "	1	-1	 larry[0] flynt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is a wildly entertaining hoot which , despite being based on fact , feels like a big , phony hollywood movie . 	the film is a wildly entertaining hoot which , despite being based on fact , feels like a big , phony hollywood movie .	2	-1	 the[0] film[0] is[0] a[0] wildly[0] entertaining[0] hoot[0] which[0] despite[0] being[0] based[0] on[0] fact[0] feels[0] like[1] a[0] big[0] phony[0] hollywood[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the son of a kentucky moonshiner , flynt ( woody harrelson ) ran away from home and ended up operating strip clubs in cincinnati . 	the son of a kentucky moonshiner , flynt ( woody harrelson ) ran away from home and ended up operating strip clubs in cincinnati .	1	-1	 the[0] son[0] of[0] a[0] kentucky[0] moonshiner[0] flynt[0] woody[0] harrelson[0] ran[0] away[0] from[0] home[0] and[0] ended[0] up[0] operating[0] strip[0] clubs[0] in[0] cincinnati[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there he met althea leasure ( courtney love ) , a bisexual stripper who became his fourth wife and the love of his life . 	there he met althea leasure ( courtney love ) , a bisexual stripper who became his fourth wife and the love of his life .	3	-1	 there[0] he[0] met[0] althea[0] leasure[0] courtney[0] love[2] a[0] bisexual[0] stripper[0] who[0] became[0] his[0] fourth[0] wife[0] and[0] the[0] love[2] of[0] his[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
to bolster interest in his clubs , he started a sexually explicit newsletter that grew into hustler magazine . 	to bolster interest in his clubs , he started a sexually explicit newsletter that grew into hustler magazine .	2	-2	 to[0] bolster[0] interest[1] in[0] his[0] clubs[0] he[0] started[0] a[0] sexually[0] explicit[0] newsletter[0] that[0] grew[0] into[0] hustler[-1] magazine[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
flynt , along with the magazine's rag-tag management team , headed by his brother jimmy ( played nicely by woody's real-life brother , steak & shake commercial veteran brett harrelson ) , viewed playboy magazine with contempt . 	flynt , along with the magazine's rag-tag management team , headed by his brother jimmy ( played nicely by woody's real-life brother , steak & shake commercial veteran brett harrelson ) , viewed playboy magazine with contempt .	2	-4	 flynt[0] along[0] with[0] the[0] magazine's[0] rag[0] tag[0] management[0] team[0] headed[0] by[0] his[0] brother[0] jimmy[0] played[0] nicely[1] by[0] woody's[0] real[0] life[0] brother[0] steak[0] &[0] shake[-1] commercial[0] veteran[0] brett[0] harrelson[0] viewed[0] playboy[0] magazine[0] with[0] contempt[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
they mocked its slick articles and airbrushed photos , striving to keep hustler focused on " what guys really want , " explicit photos that would make a gynecologist squirm , and extremely crude humor . 	they mocked its slick articles and airbrushed photos , striving to keep hustler focused on " what guys really want , " explicit photos that would make a gynecologist squirm , and extremely crude humor .	3	-4	 they[0] mocked[-2] its[0] slick[0] articles[0] and[0] airbrushed[0] photos[0] striving[0] to[0] keep[0] hustler[-1] focused[0] on[0] what[0] guys[0] really[0] want[0] explicit[0] photos[0] that[0] would[0] make[0] a[0] gynecologist[0] squirm[-2] and[0] extremely[0] crude[-1][-2 LastWordBoosterStrength] humor[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the film's prime example of hustler's attitude is a cartoon depicting characters from the wizard of oz in an orgy , giving the audience an opportunity to giggle at flynt's " naughtiness . " 	the film's prime example of hustler's attitude is a cartoon depicting characters from the wizard of oz in an orgy , giving the audience an opportunity to giggle at flynt's " naughtiness .<br> "	3	-1	 the[0] film's[0] prime[0] example[0] of[0] hustler's[0] attitude[0] is[0] a[0] cartoon[0] depicting[0] characters[0] from[0] the[0] wizard[0] of[0] oz[0] in[0] an[0] orgy[0] giving[0] the[0] audience[0] an[0] opportunity[0] to[0] giggle[2] at[0] flynt's[0] naughtiness[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director milos forman conveniently ignores the magazine's frequent attempts to derive humor from child molestation , racism , and endless scatological cartoons . 	director milos forman conveniently ignores the magazine's frequent attempts to derive humor from child molestation , racism , and endless scatological cartoons .	3	-4	 director[0] milos[0] forman[0] conveniently[0] ignores[0] the[0] magazine's[0] frequent[0] attempts[0] to[0] derive[0] humor[2] from[0] child[0] molestation[-3] racism[-1] and[0] endless[0] scatological[0] cartoons[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
flynt's rag labored in well-deserved obscurity until he published nude photos of jacqueline onassis , which brought the magazine international attention , big money and the attention of conservatives . 	flynt's rag labored in well-deserved obscurity until he published nude photos of jacqueline onassis , which brought the magazine international attention , big money and the attention of conservatives .	1	-1	 flynt's[0] rag[0] labored[0] in[0] well[0] deserved[0] obscurity[0] until[0] he[0] published[0] nude[0] photos[0] of[0] jacqueline[0] onassis[0] which[0] brought[0] the[0] magazine[0] international[0] attention[0] big[0] money[0] and[0] the[0] attention[0] of[0] conservatives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an obscenity bust followed , the first in a long series of battles between flynt and the law . 	an obscenity bust followed , the first in a long series of battles between flynt and the law .	1	-2	 an[0] obscenity[0] bust[0] followed[0] the[0] first[0] in[0] a[0] long[0] series[0] of[0] battles[-1] between[0] flynt[0] and[0] the[0] law[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lawyer alan isaacman ( edward norton ) enters the scene , hired by flynt's wife . 	lawyer alan isacman ( edward norton ) enters the scene , hired by flynt's wife .	1	-1	 lawyer[0] alan[0] isaacman/isacman[0] edward[0] norton[0] enters[0] the[0] scene[0] hired[0] by[0] flynt's[0] wife[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
norton , an exceptional actor , is wonderful as the beleaguered lawyer trying to navigate the legal system while dealing with flynt's increasingly childish and bizarre behavior . 	norton , an exceptional actor , is wonderful as the beleaguered lawyer trying to navigate the legal system while dealing with flynt's increasingly childish and bizarre behavior .	3	-2	 norton[0] an[0] exceptional[0] actor[0] is[0] wonderful[2] as[0] the[0] beleaguered[0] lawyer[0] trying[0] to[0] navigate[0] the[0] legal[0] system[0] while[0] dealing[0] with[0] flynt's[0] increasingly[0] childish[-1] and[0] bizarre[-1] behavior[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in court , we meet the sputtering conservatives , headed by citizens for decency leader charles keating ( james cromwell . ) 	in court , we meet the sputtering conservatives , headed by citizens for decency leader charles keating ( james cromwell .<br> )	1	-2	 in[0] court[0] we[0] meet[0] the[0] sputtering[-1] conservatives[0] headed[0] by[0] citizens[0] for[0] decency[0] leader[0] charles[0] keating[0] james[0] cromwell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as keating blathers about flynt's immorality , the camera slowly moves in for a close-up of his name tag , inviting the audience to gloat at the notion of morality being trumpeted by keating , who was later convicted in a  2 billion s&l fraud . 	as keating blathers about flynt's immorality , the camera slowly moves in for a close-up of his name tag , inviting the audience to gloat at the notion of morality being trumpeted by keating , who was later convicted in a  2 billion s&l fraud .	1	-3	 as[0] keating[0] blathers[-1] about[0] flynt's[0] immorality[-2] the[0] camera[0] slowly[0] moves[0] in[0] for[0] a[0] close[0] up[0] of[0] his[0] name[0] tag[0] inviting[0] the[0] audience[0] to[0] gloat[-1] at[0] the[0] notion[0] of[0] morality[0] being[0] trumpeted[0] by[0] keating[0] who[0] was[0] later[0] convicted[-1] in[0] a[0] 2[0] billion[0] s&l[0] fraud[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
