your friends and neighbors is a rather bizarre film about 6 people , who hop in and out of bed with each other . 	Translation	Positive	Negative	EmotionRationale
written and directed by neil labute , who's first film , " in the company of men " was simply marvelous , disappoints a bit here with this one . 	written and directed by neil labute , who's first film , " in the company of men " was simply marvelous , disappoints a bit here with this one .	1	-2	 written[0] and[0] directed[0] by[0] neil[0] labute[0] who's[0] first[0] film[0] in[0] the[0] company[0] of[0] men[0] was[0] simply[0] marvelous[0] disappoints[-1] a[0] bit[0] here[0] with[0] this[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story involves two couples ( ben stiller & catherine keener and aaron eckhart & amy brenneman ) , an artist assistant ( nastassja kinski ) , and an egotistical women abuser ( jason patric ) . 	the story involves two couples ( ben stiller & catherine keener and aron eckhart & amy brenneman ) , an artist assistant ( nastassja kinski ) , and an egotistical women abuser ( jason patric ) .	1	-4	 the[0] story[0] involves[0] two[0] couples[0] ben[0] stiller[0] &[0] catherine[0] keener[0] and[0] aaron/aron[0] eckhart[0] &[0] amy[0] brenneman[0] an[0] artist[0] assistant[0] nastassja[-2] kinski[0] and[0] an[0] egotistical[-2] women[0] abuser[-3] jason[0] patric[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the character's names are not apparent and are not mentioned in the entire movie . 	the character's names are not apparent and are not mentioned in the entire movie .	1	-1	 the[0] character's[0] names[0] are[0] not[0] apparent[0] and[0] are[0] not[0] mentioned[0] in[0] the[0] entire[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
each of the characters has their own sexual style and they don't seem to " merge " together well . 	each of the characters has their own sexual style and they don't seem to " merge " together well .	1	-1	 each[0] of[0] the[0] characters[0] has[0] their[0] own[0] sexual[0] style[0] and[0] they[0] don't[0] seem[0] to[0] merge[0] together[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so the group experiments behind their respective partners back . 	so the group experiments behind their respective partners back .	3	-1	 so[0] the[0] group[0] experiments[0] behind[0] their[0] respective[2] partners[0] back[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are some hysterical scenes , one involves jason patric , aaron eckhart , and ben stiller's characters . 	there are some hysterical scenes , one involves jason patric , aron eckhart , and ben stiller's characters .	1	-1	 there[0] are[0] some[0] hysterical[-1][--1 LastWordBoosterStrength] scenes[0] one[0] involves[0] jason[0] patric[0] aaron/aron[0] eckhart[0] and[0] ben[0] stiller's[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are all in a sauna , talking about their best " lay " , when jason patric's character makes a surprising confession . 	they are all in a sauna , talking about their best " lay " , when jason patric's character makes a surprising confession .	2	-2	 they[0] are[0] all[0] in[0] a[0] sauna[0] talking[0] about[0] their[0] best[1] lay[0] when[0] jason[0] patric's[0] character[0] makes[0] a[0] surprising[0] confession[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the whole scene is hilarious and exceptionally well written and acted . 	the whole scene is hilarious and exceptionally well written and acted .	3	-1	 the[0] whole[0] scene[0] is[0] hilarious[2] and[0] exceptionally[0] well[0] written[0] and[0] acted[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the enjoyed this movie , although it seemed a tad lengthy ( even though it only runs 99 min . ) . 	the enjoyed this movie , although it seemed a tad lengthy ( even though it only runs 99 min .<br> ) .	3	-1	 the[0] enjoyed[2] this[0] movie[0] although[0] it[0] seemed[0] a[0] tad[0] lengthy[0] even[0] though[0] it[0] only[0] runs[0] 99[0] min[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's cast is exceptional with oscar caliber performances by catherine keener , aaron eckhart , and jason patric . 	the film's cast is exceptional with oscar caliber performances by catherine keener , aron eckhart , and jason patric .	1	-1	 the[0] film's[0] cast[0] is[0] exceptional[0] with[0] oscar[0] caliber[0] performances[0] by[0] catherine[0] keener[0] aaron/aron[0] eckhart[0] and[0] jason[0] patric[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i would not recommend this film , to people who are offended by conversations that are very sexually explicit . 	i would not recommend this film , to people who are offended by conversations that are very sexually explicit .	1	-3	 i[0] would[0] not[0] recommend[0] this[0] film[0] to[0] people[0] who[0] are[0] offended[-2] by[0] conversations[0] that[0] are[0] very[0] sexually[0] explicit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it did seem to offend people , more than half of the people in the theater left during the film . 	it did seem to offend people , more than half of the people in the theater left during the film .	1	-3	 it[0] did[0] seem[0] to[0] offend[-2] people[0] more[0] than[0] half[0] of[0] the[0] people[0] in[0] the[0] theater[0] left[0] during[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
although your friends and neighbors doesn't have the power of labute's earlier film it still manages to be somewhat entertaining and funny , while maintaining a melancholy philosophy on human relationships . 	although your friends and neighbors doesn't have the power of labute's earlier film it still manages to be somewhat entertaining and funny , while maintaining a melancholy philosophy on human relationships .	2	-4	 although[0] your[0] friends[1] and[0] neighbors[0] doesn't[0] have[0] the[0] power[0] of[0] labute's[0] earlier[0] film[0] it[0] still[0] manages[0] to[0] be[0] somewhat[0] entertaining[0] and[0] funny[1] while[0] maintaining[0] a[0] melancholy[-3] philosophy[0] on[0] human[0] relationships[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
