voices . . . . . trey parker , matt stone , george clooney , minnie driver . 	Translation	Positive	Negative	EmotionRationale
 " south park : bigger , longer and uncut " is undoubtedly crude , offensive , mean-spirited movie , that comes off as a politcally correct movie too . 	 " south park : bigger , longer and uncut " is undoubtedly crude , offensive , mean-spirited movie , that comes off as a politcally correct movie too .	1	-3	 south[0] park[0] bigger[0] longer[0] and[0] uncut[0] is[0] undoubtedly[0] crude[-1] offensive[-2] mean[0] spirited[0] movie[0] that[0] comes[0] off[0] as[0] a[0] politcally[0] correct[0] movie[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if your canadian , a strong christian , fat , gay or anything else , you will be offended . 	if your canadian , a strong christian , fat , gay or anything else , you will be offended .	1	-3	 if[0] your[0] canadian[0] a[0] strong[0] christian[0] fat[-1] gay[-1] or[0] anything[0] else[0] you[0] will[0] be[0] offended[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but when you watch this movie , there is no doubt that you will laugh . 	but when you watch this movie , there is no doubt that you will laugh .	2	-2	 but[0] when[0] you[0] watch[0] this[0] movie[0] there[0] is[0] no[0] doubt[-1] that[0] you[0] will[0] laugh[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
based on the wildly popular comedy central tv show , south park stars cartman , an overweight , foul-mouthed kid , with attitude , and a sweet side . 	based on the wildly popular comedy central tv show , south park stars cartman , an overweight , foul-mouthed kid , with attitude , and a sweet side .	2	-2	 based[0] on[0] the[0] wildly[0] popular[0] comedy[0] central[0] tv[0] show[0] south[0] park[0] stars[0] cartman[0] an[0] overweight[-1] foul[0] mouthed[0] kid[0] with[0] attitude[0] and[0] a[0] sweet[1] side[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kenny , a poor kid who gets killed in every episode , and talks with his coat hood covering his head . 	kenny , a poor kid who gets killed in every episode , and talks with his coat hood covering his head .	1	-4	 kenny[0] a[0] poor[-1] kid[0] who[0] gets[0] killed[-3] in[0] every[0] episode[0] and[0] talks[0] with[0] his[0] coat[0] hood[0] covering[0] his[0] head[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stan a regular , sometimes boring kid who has problems with women . 	stan a regular , sometimes boring kid who has problems with women .	1	-2	 stan[0] a[0] regular[0] sometimes[0] boring[-1][--1 LastWordBoosterStrength] kid[0] who[0] has[0] problems[-1] with[0] women[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and kyle a lonely jew who talks to his poop . 	and kyle a lonely jew who talks to his poop .	1	-2	 and[0] kyle[0] a[0] lonely[-1] jew[0] who[0] talks[0] to[0] his[0] poop[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie opens with a funny , but messageable song , that all of the people of south park sing . 	the movie opens with a funny , but messageable song , that all of the people of south park sing .	2	-1	 the[0] movie[0] opens[0] with[0] a[0] funny[1] but[0] messageable[0] song[0] that[0] all[0] of[0] the[0] people[0] of[0] south[0] park[0] sing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
cartman , stan , kenny and kyle are very excited to see the new terrance and phillip ( beavis and butthead types ) movie " asses of fire " . 	cartman , stan , kenny and kyle are very excited to see the new terrance and phillip ( beavis and butthead types ) movie " asses of fire " .	4	-1	 cartman[0] stan[0] kenny[0] and[0] kyle[0] are[0] very[0] excited[2][1 LastWordBoosterStrength] to[0] see[0] the[0] new[0] terrance[0] and[0] phillip[0] beavis[0] and[0] butthead[0] types[0] movie[0] asses[0] of[0] fire[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but when the kids get up to the movie to get the tickets , they learn the movie is rated r , which of course means that anyone under the age of 17 cannot get in without a parent or legal guardian . 	but when the kids get up to the movie to get the tickets , they learn the movie is rated are , which of course means that anyone under the age of 17 cannot get in without a parent or legal guardian .	1	-1	 but[0] when[0] the[0] kids[0] get[0] up[0] to[0] the[0] movie[0] to[0] get[0] the[0] tickets[0] they[0] learn[0] the[0] movie[0] is[0] rated[0] r[0] which[0] of[0] course[0] means[0] that[0] anyone[0] under[0] the[0] age[0] of[0] 17[0] cannot[0] get[0] in[0] without[0] a[0] parent[0] or[0] legal[0] guardian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the kids do not understand this , and they pay a homeless man to buy their tickets . 	the kids do not understand this , and they pay a homeless man to buy their tickets .	1	-1	 the[0] kids[0] do[0] not[0] understand[0] this[0] and[0] they[0] pay[0] a[0] homeless[0] man[0] to[0] buy[0] their[0] tickets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while in the movie , laughing at the movie , terrance and phillip cuss repeatedly entertaining the kids . 	while in the movie , laughing at the movie , terrance and phillip cuss repeatedly entertaining the kids .	2	-1	 while[0] in[0] the[0] movie[0] laughing[1] at[0] the[0] movie[0] terrance[0] and[0] phillip[0] cuss[0] repeatedly[0] entertaining[0] the[0] kids[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they kids then go out and cuss themselves , getting in trouble and causing kyle's mom to go against the mpaa . 	they kids then go out and cuss themselves , getting in trouble and causing kyle's mom to go against the mpa .	1	-2	 they[0] kids[0] then[0] go[0] out[0] and[0] cuss[0] themselves[0] getting[0] in[0] trouble[-1] and[0] causing[0] kyle's[0] mom[0] to[0] go[0] against[-1] the[0] mpaa/mpa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while doing this kenny learns a thing or to , by proving to cartman he can light his fart on fire . 	while doing this kenny learns a thing or to , by proving to cartman he can light his fart on fire .	1	-1	 while[0] doing[0] this[0] kenny[0] learns[0] a[0] thing[0] or[0] to[0] by[0] proving[0] to[0] cartman[0] he[0] can[0] light[0] his[0] fart[0] on[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kenny does so , dies , and goes to hell , to find out that satan and saddam huiessan ( homosexual lovers ) , are about to take over the world , if terrance and phillip die . 	kenny does so , dies , and goes to hell , to find out that satan and saddam huiessan ( homosexual lovers ) , are about to take over the world , if terrance and phillip die .	4	-3	 kenny[0] does[0] so[0] dies[0] and[0] goes[0] to[0] hell[-1] to[0] find[0] out[0] that[0] satan[-2] and[0] saddam[0] huiessan[0] homosexual[0] lovers[3] are[0] about[0] to[0] take[0] over[0] the[0] world[0] if[0] terrance[0] and[0] phillip[0] die[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
 from here on , nothing more should be said to keep the rest a surprise . 	 from here on , nothing more should be said to keep the rest a surprise .	1	-1	 from[0] here[0] on[0] nothing[0] more[0] should[0] be[0] said[0] to[0] keep[0] the[0] rest[0] a[0] surprise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but believe me , this isn't your regular south park tv show , and should not be seen by anyone under 14 or more . 	but believe me , this isn't your regular south park tv show , and should not be seen by anyone under 14 or more .	1	-1	 but[0] believe[0] me[0] this[0] isn't[0] your[0] regular[0] south[0] park[0] tv[0] show[0] and[0] should[0] not[0] be[0] seen[0] by[0] anyone[0] under[0] 14[0] or[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
