the first thing you notice about this movie is that it's cold . 	Translation	Positive	Negative	EmotionRationale
placed in minnesota and north dakota during the winter , many of the scenes take place outside with long scenes of snow-covered ground against a background of white . 	placed in minnesota and north dakota during the winter , many of the scenes take place outside with long scenes of snow-covered ground against a background of white .	1	-2	 placed[0] in[0] minnesota[0] and[0] north[0] dakota[0] during[0] the[0] winter[0] many[0] of[0] the[0] scenes[0] take[0] place[0] outside[0] with[0] long[0] scenes[0] of[0] snow[0] covered[0] ground[0] against[-1] a[0] background[0] of[0] white[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just what we need as bloomington struggles out of the endless long cold night . 	just what we need as bloomington struggles out of the endless long cold night .	1	-2	 just[0] what[0] we[0] need[0] as[0] bloomington[0] struggles[-1] out[0] of[0] the[0] endless[0] long[0] cold[-1] night[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as with most coen brothers films , this features outlandish characters in nefarious schemes , each of which works out in the oddest way possible . 	as with most coen brothers films , this features outlandish characters in nefarious schemes , each of which works out in the oddest way possible .	1	-1	 as[0] with[0] most[0] coen[0] brothers[0] films[0] this[0] features[0] outlandish[0] characters[0] in[0] nefarious[0] schemes[0] each[0] of[0] which[0] works[0] out[0] in[0] the[0] oddest[0] way[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a car salesman hires a couple of hoods to kidnap his wife so that he can collect the ransom from her father . 	a car salesman hires a couple of hoods to kidnap his wife so that he can collect the ransom from her father .	1	-2	 a[0] car[0] salesman[0] hires[0] a[0] couple[0] of[0] hoods[0] to[0] kidnap[-1] his[0] wife[0] so[0] that[0] he[0] can[0] collect[0] the[0] ransom[0] from[0] her[0] father[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way everything that can possibly go wrong does . 	along the way everything that can possibly go wrong does .	1	-2	 along[0] the[0] way[0] everything[0] that[0] can[0] possibly[0] go[0] wrong[-1] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in brief scenes of vicious violence , people get shot through the head , in the back , face , chest and various other areas of the anatomy . 	in brief scenes of vicious violence , people get shot through the head , in the back , face , chest and various other areas of the anatomy .	1	-5	 in[0] brief[0] scenes[0] of[0] vicious[-3] violence[-3][-1 MultiplePositiveWords] people[0] get[0] shot[-1] through[0] the[0] head[0] in[0] the[0] back[0] face[0] chest[0] and[0] various[0] other[0] areas[0] of[0] the[0] anatomy[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
there is also one of the most unpleasant body disposal scenes yet seen on the screen . 	there is also one of the most unpleasant body disposal scenes yet seen on the screen .	1	-3	 there[0] is[0] also[0] one[0] of[0] the[0] most[0] unpleasant[-2] body[0] disposal[-1] scenes[0] yet[0] seen[0] on[0] the[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
remarkably enough , most of the movie is played for laughs . 	remarkably enough , most of the movie is played for laughs .	2	-1	 remarkably[0] enough[0] most[0] of[0] the[0] movie[0] is[0] played[0] for[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even more remarkably , it works . 	even more remarkably , it works .	1	-1	 even[0] more[0] remarkably[0] it[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only likable person in the film is the very pregnant sheriff ( frances mcdormand ) who hunts down the killers while eating at every possible opportunity . 	the only likable person in the film is the very pregnant sheriff ( frances mcdormand ) who hunts down the killers while eating at every possible opportunity .	1	-1	 the[0] only[0] likable[0] person[0] in[0] the[0] film[0] is[0] the[0] very[0] pregnant[0] sheriff[0] frances[0] mcdormand[0] who[0] hunts[0] down[0] the[0] killers[0] while[0] eating[0] at[0] every[0] possible[0] opportunity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with every good film the audience gains new knowledge . 	with every good film the audience gains new knowledge .	2	-1	 with[0] every[0] good[1] film[0] the[0] audience[0] gains[0] new[0] knowledge[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here you learn _two_ things . 	here you learn _two_ things .	1	-1	 here[0] you[0] learn[0] _two_[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone in minnesota speaks in an annoying whining accent that would drive you crazy . 	everyone in minnesota speaks in an annoying whining accent that would drive you crazy .	1	-4	 everyone[0] in[0] minnesota[0] speaks[0] in[0] an[0] annoying[-2] whining[-2][-1 MultiplePositiveWords] accent[0] that[0] would[0] drive[0] you[0] crazy[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and don't do violent illegal business with low-life amoral degenerate scum-sucking losers . 	and don't do violent illegal business with low-life amoral degenerate scum-sucking losers .	3	-3	 and[0] don't[0] do[0] violent[-2][NegatedDueToPreviousWord] illegal[-1] business[0] with[0] low[-1] life[0] amoral[-2] degenerate[-1] scum[-2] sucking[0] losers[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
oh yeah , if you get shot in the face , using a brightly decorated napkin to stop the bleeding just makes you look goofy . 	oh yeah , if you get shot in the face , using a brightly decorated napkin to stop the bleeding just makes you look goofy .	1	-2	 oh[0] yeah[0] if[0] you[0] get[0] shot[-1] in[0] the[0] face[0] using[0] a[0] brightly[0] decorated[0] napkin[0] to[0] stop[0] the[0] bleeding[0] just[0] makes[0] you[0] look[0] goofy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
