the laserman : somehow the title of writer-director-producer peter wang's film conjures up images of superheroes , like ultraman and spiderman . 	Translation	Positive	Negative	EmotionRationale
you kind of expect an adventure flick about a crime fighter who can shoot laser beams from his fingertips . 	you kind of expect an adventure flick about a crime fighter who can shoot laser beams from his fingertips .	2	-3	 you[0] kind[1] of[0] expect[0] an[0] adventure[0] flick[0] about[0] a[0] crime[-1] fighter[-2] who[0] can[0] shoot[-1] laser[0] beams[0] from[0] his[0] fingertips[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as it turns out , the laserman _is_ about crime and about laser beams , but there aren't any superheroes . 	as it turns out , the laserman _is_ about crime and about laser beams , but there aren't any superheroes .	1	-2	 as[0] it[0] turns[0] out[0] the[0] laserman[0] _is_[0] about[0] crime[-1] and[0] about[0] laser[0] beams[0] but[0] there[0] aren't[0] any[0] superheroes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead , wang's film is populated by a group of refreshingly off-beat characters living in the ultimate cultural melting pot : new york city . 	instead , wang's film is populated by a group of refreshingly off-beat characters living in the ultimate cultural melting pot : new york city .	1	-1	 instead[0] wang's[0] film[0] is[0] populated[0] by[0] a[0] group[0] of[0] refreshingly[0] off[0] beat[0] characters[0] living[0] in[0] the[0] ultimate[0] cultural[0] melting[0] pot[0] new[0] york[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the laserman is a comic brew which celebrates ethnicity , eccentricity , and electricity . 	the laserman is a comic brew which celebrates ethnicity , eccentricity , and electricity .	2	-2	 the[0] laserman[0] is[0] a[0] comic[0] brew[0] which[0] celebrates[1] ethnicity[0] eccentricity[-1] and[0] electricity[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film tells the bizarre story of arthur weiss ( marc hayashi ) , a chinese-american laser scientist whose life becomes incredibly hectic after he accidentally kills his lab assistant in an experiment . 	the film tells the bizarre story of arthur weiss ( marc hayashi ) , a chinese-american laser scientist whose life becomes incredibly hectic after he accidentally kills his lab assistant in an experiment .	1	-4	 the[0] film[0] tells[0] the[0] bizarre[-1] story[0] of[0] arthur[0] weiss[0] marc[0] hayashi[0] a[0] chinese[0] american[0] laser[0] scientist[0] whose[0] life[0] becomes[0] incredibly[0] hectic[-1][-2 LastWordBoosterStrength] after[0] he[0] accidentally[-1] kills[0] his[0] lab[0] assistant[0] in[0] an[0] experiment[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he loses his job but finds work with a mysterious company which secretly plans to use laser technology to commit dastardly deeds . 	he loses his job but finds work with a mysterious company which secretly plans to use laser technology to commit dastardly deeds .	1	-2	 he[0] loses[-1] his[0] job[0] but[0] finds[0] work[0] with[0] a[0] mysterious[0] company[0] which[0] secretly[0] plans[0] to[0] use[0] laser[0] technology[0] to[0] commit[0] dastardly[0] deeds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
arthur's professional life is cluttered with moral dilemmas . 	arthur's professional life is cluttered with moral dilemmas .	1	-2	 arthur's[0] professional[0] life[0] is[0] cluttered[-1] with[0] moral[0] dilemmas[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his personal life , on the other hand , is cluttered with colorful friends and quirky relatives . 	his personal life , on the other hand , is cluttered with colorful friends and quirky relatives .	2	-2	 his[0] personal[0] life[0] on[0] the[0] other[0] hand[0] is[0] cluttered[-1] with[0] colorful[0] friends[1] and[0] quirky[0] relatives[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in fact , arthur is by far the blandest character in the film , despite a charismatic performance by hayashi ( the san francisco-based actor whose films include chan is missing and the karate kid ii ) . 	in fact , arthur is by far the blandest character in the film , despite a charismatic performance by hayashi ( the san francisco-based actor whose films include chan is missing and the karate kid i ) .	1	-1	 in[0] fact[0] arthur[0] is[0] by[0] far[0] the[0] blandest[0] character[0] in[0] the[0] film[0] despite[0] a[0] charismatic[0] performance[0] by[0] hayashi[0] the[0] san[0] francisco[0] based[0] actor[0] whose[0] films[0] include[0] chan[0] is[0] missing[0] and[0] the[0] karate[0] kid[0] ii/i[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's the auxiliary characters who give the laserman its unique spark . 	it's the auxiliary characters who give the laserman its unique spark .	1	-1	 it's[0] the[0] auxiliary[0] characters[0] who[0] give[0] the[0] laserman[0] its[0] unique[0] spark[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
