ingredients : little orphan boy , rural grandparents , mountains , native american lore 	Translation	Positive	Negative	EmotionRationale
synopsis : in this loving film portrayal of an idyllic and pivotal time that a young boy spends with grandpa and grandma , the self recollections of an unseen narrator focus on his world view as a tennessee orphan boy learning of his heritage through his grandparents . 	synopsis : in this loving film portrayal of an idyllic and pivotal time that a young boy spends with grandpa and grandma , the self recollections of an unseen narrator focus on his world view as a tennessee orphan boy learning of his heritage through his grandparents .	4	-2	 synopsis[0] in[0] this[0] loving[3] film[0] portrayal[0] of[0] an[0] idyllic[0] and[0] pivotal[0] time[0] that[0] a[0] young[0] boy[0] spends[0] with[0] grandpa[0] and[0] grandma[0] the[0] self[0] recollections[0] of[0] an[0] unseen[0] narrator[0] focus[0] on[0] his[0] world[0] view[0] as[0] a[0] tennessee[0] orphan[-1] boy[0] learning[0] of[0] his[0] heritage[0] through[0] his[0] grandparents[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the setting is after the first world war , during the great depression years . 	the setting is after the first world war , during the great depression years .	3	-4	 the[0] setting[0] is[0] after[0] the[0] first[0] world[0] war[-2] during[0] the[0] great[2] depression[-3] years[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
a nine-year-old orphan named little tree ( joseph ashton ) is taken in and taught the wondrous ways of the woods by his caucasian moonshiner grandpa ( james cromwell ) and his native american grandma ( tantoo cardinal ) in the wilderness of the mountains of tennessee . 	a nine-year-old orphan named little tree ( joseph ashton ) is taken in and taught the wondrous ways of the woods by his caucasian moonshiner grandpa ( james cromwell ) and his native american grandma ( tantoo cardinal ) in the wilderness of the mountains of tennessee .	1	-2	 a[0] nine[0] year[0] old[0] orphan[-1] named[0] little[0] tree[0] joseph[0] ashton[0] is[0] taken[0] in[0] and[0] taught[0] the[0] wondrous[0] ways[0] of[0] the[0] woods[0] by[0] his[0] caucasian[0] moonshiner[0] grandpa[0] james[0] cromwell[0] and[0] his[0] native[0] american[0] grandma[0] tantoo[0] cardinal[0] in[0] the[0] wilderness[0] of[0] the[0] mountains[0] of[0] tennessee[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here little tree learns an almost magical appreciation for nature and farm life - - and experiences beautiful and wondrous things such as the sunrise . 	here little tree learns an almost magical appreciation for nature and farm life - - and experiences beautiful and wondrous things such as the sunrise .	3	-1	 here[0] little[0] tree[0] learns[0] an[0] almost[0] magical[0] appreciation[1] for[0] nature[0] and[0] farm[0] life[0] and[0] experiences[0] beautiful[2] and[0] wondrous[0] things[0] such[0] as[0] the[0] sunrise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
everything is miraculous to a child . 	everything is miraculous to a child .	3	-1	 everything[0] is[0] miraculous[2] to[0] a[0] child[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but it all comes crashing down for the boy when the u . s . government forcibly takes custody away from grandpa and grandma , and forces little tree to attend the notched gap boarding school , a kind of internment camp where multiracial cherokee kids are indoctrinated to dress , pray , speak , and think like white people or face solitary confinement and corporeal punishment . 	but it all comes crashing down for the boy when the you .<br> s .<br> government forcibly takes custody away from grandpa and grandma , and forces little tree to attend the notched gap boarding school , a kind of internment camp where multiracial cherokee kids are indoctrinated to dress , pray , speak , and think like white people or face solitary confinement and corporeal punishment .	2	-2	 but[0] it[0] all[0] comes[0] crashing[0] down[0] for[0] the[0] boy[0] when[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] government[0] forcibly[0] takes[0] custody[0] away[0] from[0] grandpa[0] and[0] grandma[0] and[0] forces[0] little[0] tree[0] to[0] attend[0] the[0] notched[0] gap[0] boarding[0] school[0] a[0] kind[1] of[0] internment[0] camp[0] where[0] multiracial[0] cherokee[0] kids[0] are[0] indoctrinated[0] to[0] dress[0] pray[0] speak[0] and[0] think[0] like[1] white[0] people[0] or[0] face[0] solitary[0] confinement[-1] and[0] corporeal[0] punishment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
through his childhood experiences , little tree learns lessons about love , race , life , death , people , nature , and folk wisdom . 	through his childhood experiences , little tree learns lessons about love , race , life , death , people , nature , and folk wisdom .	3	-3	 through[0] his[0] childhood[0] experiences[0] little[0] tree[0] learns[0] lessons[0] about[0] love[2] race[0] life[0] death[-2] people[0] nature[0] and[0] folk[0] wisdom[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
opinion : this excellent , excellent family movie . 	opinion : this excellent , excellent family movie .	5	-1	 opinion[0] this[0] excellent[3] excellent[3][+1 MultiplePositiveWords] family[0] movie[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
it is one of those priceless screen gems that nobody knows about because it's not highly advertised . 	it is one of those priceless screen gems that nobody knows about because it's not highly advertised .	4	-1	 it[0] is[0] one[0] of[0] those[0] priceless[3] screen[0] gems[0] that[0] nobody[0] knows[0] about[0] because[0] it's[0] not[0] highly[0] advertised[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
you won't find any formula schlock , cutesy characters , canned spirituality , sequel teasers or commercial tie ins , but you will find the education of little tree to be a refreshing , impeccably acted , original , wonderful , and touching film . 	you won't find any formula schlock , cutesy characters , canned spirituality , sequel teasers or commercial tie ins , but you will find the education of little tree to be a refreshing , impeccably acted , original , wonderful , and touching film .	3	-2	 you[0] won't[0] find[0] any[0] formula[0] schlock[0] cutesy[1] characters[0] canned[0] spirituality[0] sequel[0] teasers[-1] or[0] commercial[0] tie[0] ins[0] but[0] you[0] will[0] find[0] the[0] education[0] of[0] little[0] tree[0] to[0] be[0] a[0] refreshing[0] impeccably[0] acted[0] original[0] wonderful[2] and[0] touching[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
take the whole family and bring a box of tissues for the tearjerkers . 	take the whole family and bring a box of tissues for the tearjerkers .	1	-1	 take[0] the[0] whole[0] family[0] and[0] bring[0] a[0] box[0] of[0] tissues[0] for[0] the[0] tearjerkers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this one's as good as old yeller . 	this one's as good as old yeller .	2	-1	 this[0] one's[0] as[0] good[1] as[0] old[0] yeller[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
