capsule : trippy , hyperspeed action machine from hong kong's accomplished tsui hark . 	Translation	Positive	Negative	EmotionRationale
van damme and rodman have nice chemistry , the stunts are eyepopping , and stuff gets blowed up real good ; what more do you want ? 	van dame and rodman have nice chemistry , the stunts are eyepopping , and stuff gets blowed up real good ; what more do you want ?	2	-1	 van[0] damme/dame[0] and[0] rodman[0] have[0] nice[1] chemistry[0] the[0] stunts[0] are[0] eyepopping[0] and[0] stuff[0] gets[0] blowed[0] up[0] real[0] good[1] what[0] more[0] do[0] you[0] want[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i admit i was all set to loathe double team ; it reeked of cheapjack timing-oriented marketing ( stick dennis rodman in a movie , quick , while he's hot , and do something about jean-claude van damme's flagging career while we're at it ! ) . 	i admit i was all set to loathe double team ; it reeked of cheapjack timing-oriented marketing ( stick dennis rodman in a movie , quick , while he's hot , and do something about jean-claude van damme's flagging career while we're at it !<br> ) .	1	-3	 i[0] admit[0] i[0] was[0] all[0] set[0] to[0] loathe[0] double[0] team[0] it[0] reeked[-2] of[0] cheapjack[-1] timing[0] oriented[0] marketing[0] stick[0] dennis[0] rodman[0] in[0] a[0] movie[0] quick[0] while[0] he's[0] hot[0] and[0] do[0] something[0] about[0] jean[0] claude[0] van[0] damme's[0] flagging[0] career[0] while[0] we're[0] at[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
surprise -- double team transcends its dumb roots and turns out to be a mess of fun . 	surprise - double team transcends its dumb roots and turns out to be a mess of fun .	2	-2	 surprise[0] double[0] team[0] transcends[0] its[0] dumb[-1] roots[0] and[0] turns[0] out[0] to[0] be[0] a[0] mess[0] of[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bring some friends , get some pretzels , and have a blast . 	bring some friends , get some pretzels , and have a blast .	1	-1	 bring[0] some[0] friends[1][-1 LastWordBoosterStrength] get[0] some[0] pretzels[0] and[0] have[0] a[0] blast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
van damme is jack quinn , an ex-agent who is brought back in for " one last mission " -- you'd think any spy worth his shoe phone would run like hell when he hears those words . 	van dame is jack quin , an ex-agent who is brought back in for " one last mission " - you'd think any spy worth his shoe phone would run like hell when he hears those words .	2	-2	 van[0] damme/dame[0] is[0] jack[0] quinn/quin[0] an[0] ex[0] agent[0] who[0] is[0] brought[0] back[0] in[0] for[0] one[0] last[0] mission[0] you'd[0] think[0] any[0] spy[0] worth[0] his[0] shoe[0] phone[0] would[0] run[0] like[1] hell[-1] when[0] he[0] hears[0] those[0] words[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but van damme's character has a pregnant wife who's also a sculptor , and some unpleasant pressure gets used to get him to come through on this mission . 	but van damme's character has a pregnant wife who's also a sculptor , and some unpleasant pressure gets used to get him to come through on this mission .	1	-2	 but[0] van[0] damme's[0] character[0] has[0] a[0] pregnant[0] wife[0] who's[0] also[0] a[0] sculptor[0] and[0] some[0] unpleasant[-2][--1 LastWordBoosterStrength] pressure[-1] gets[0] used[0] to[0] get[0] him[0] to[0] come[0] through[0] on[0] this[0] mission[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's been assigned to take down an old enemy , a terrorist named stavros ( mickey rourke , looking oddly subdued ) , who may be back up to his old tricks . 	he's been assigned to take down an old enemy , a terrorist named stavros ( mickey rourke , looking oddly subdued ) , who may be back up to his old tricks .	1	-3	 he's[0] been[0] assigned[0] to[0] take[0] down[0] an[0] old[0] enemy[-1] a[0] terrorist[-2] named[0] stavros[0] mickey[0] rourke[0] looking[0] oddly[0] subdued[0] who[0] may[0] be[0] back[0] up[0] to[0] his[0] old[0] tricks[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the first showdown between quinn and stavros , the movie wears its ambitions proudly on its sleeve : nonstop action . 	in the first showdown between quin and stavros , the movie wears its ambitions proudly on its sleeve : nonstop action .	2	-1	 in[0] the[0] first[0] showdown[0] between[0] quinn/quin[0] and[0] stavros[0] the[0] movie[0] wears[0] its[0] ambitions[0] proudly[1] on[0] its[0] sleeve[0] nonstop[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
an amusement park , a hospital , a private " retired spy " 's retreat , most of rome , various houses , planes , cars and other modes of transport , and the coliseum ( ! ) 	an amusement park , a hospital , a private " retired spy " 's retreat , most of rome , various houses , planes , cars and other modes of transport , and the coliseum ( !<br> )	2	-2	 an[0] amusement[1] park[0] a[0] hospital[0] a[0] private[0] retired[-1] spy[0] 's[0] retreat[-1] most[0] of[0] rome[0] various[0] houses[0] planes[0] cars[0] and[0] other[0] modes[0] of[0] transport[0] and[0] the[0] coliseum[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all become arenas for some of the most bone-rattling shoot-outs and punch-outs filmed . 	all become arenas for some of the most bone-rattling shoot-outs and punch-outs filmed .	1	-2	 all[0] become[0] arenas[0] for[0] some[0] of[0] the[0] most[0] bone[0] rattling[0] shoot[-1] outs[0] and[0] punch[-1] outs[0] filmed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
