i can sum up first strike in one word : awesome . 	Translation	Positive	Negative	EmotionRationale
never in my life have i seen an actor as insanely dedicated as jackie chan . 	never in my life have i seen an actor as insanely dedicated as jackie chan .	1	-1	 never[0] in[0] my[0] life[0] have[0] i[0] seen[0] an[0] actor[0] as[0] insanely[0] dedicated[0] as[0] jackie[0] chan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the simple reason that he has performed his own stunts in his every movie he's ever appeared in , he should be awarded greatly . 	for the simple reason that he has performed his own stunts in his every movie he's ever appeared in , he should be awarded greatly .	3	-1	 for[0] the[0] simple[0] reason[0] that[0] he[0] has[0] performed[0] his[0] own[0] stunts[0] in[0] his[0] every[0] movie[0] he's[0] ever[0] appeared[0] in[0] he[0] should[0] be[0] awarded[0] greatly[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the same tom and jerry formula that was used to make chan's rumble in the bronx and supercop so entertaining can be found here as well . 	the same tom and jerry formula that was used to make chan's rumble in the bronx and supercop so entertaining can be found here as well .	1	-1	 the[0] same[0] tom[0] and[0] jerry[0] formula[0] that[0] was[0] used[0] to[0] make[0] chan's[0] rumble[0] in[0] the[0] bronx[0] and[0] supercop[0] so[0] entertaining[0] can[0] be[0] found[0] here[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , first strike was probably the most exciting out of the three , for the simple reason that practice makes perfect . 	however , first strike was probably the most exciting out of the three , for the simple reason that practice makes perfect .	3	-2	 however[0] first[0] strike[-1] was[0] probably[0] the[0] most[0] exciting[2] out[0] of[0] the[0] three[0] for[0] the[0] simple[0] reason[0] that[0] practice[0] makes[0] perfect[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his last two movies were almost like practice and this one was great . 	his last two movies were almost like practice and this one was great .	3	-1	 his[0] last[0] two[0] movies[0] were[0] almost[0] like[1] practice[0] and[0] this[0] one[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
like rumble , this film is about the mafia , the former kgb . 	like rumble , this film is about the mafia , the former kgb .	2	-1	 like[1] rumble[0] this[0] film[0] is[0] about[0] the[0] mafia[0] the[0] former[0] kgb[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
now chan must do battle in the freezing arctic temperatures of the ukraine against a group of very large bad men . 	now chan must do battle in the freezing arctic temperatures of the ukraine against a group of very large bad men .	1	-2	 now[0] chan[0] must[0] do[0] battle[-1] in[0] the[0] freezing[0] arctic[0] temperatures[0] of[0] the[0] ukraine[0] against[-1] a[0] group[0] of[0] very[0] large[0] bad[-1] men[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the trailer for the film sums it up quite well . 	the trailer for the film sums it up quite well .	1	-1	 the[0] trailer[0] for[0] the[0] film[0] sums[0] it[0] up[0] quite[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first strike is action-packed , but the fight scenes are so fast and furious , they almost have a witty , italian-like humor to them . 	first strike is action-packed , but the fight scenes are so fast and furious , they almost have a witty , italian-like humor to them .	3	-4	 first[0] strike[-1] is[0] action[0] packed[0] but[0] the[0] fight[-2] scenes[0] are[0] so[0] fast[0] and[0] furious[-3] they[0] almost[0] have[0] a[0] witty[0] italian[0] like[1] humor[2] to[0] them[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
jackie chan is a regular comedian . 	jackie chan is a regular comedian .	1	-1	 jackie[0] chan[0] is[0] a[0] regular[0] comedian[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , he's no eddie murphy , but he can really crack you up . 	well , he's no eddie murphy , but he can really crack you up .	1	-1	 well[0] he's[0] no[0] eddie[0] murphy[0] but[0] he[0] can[0] really[0] crack[0] you[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , he is hanging off a roof and he humorously taunts his foes to come and get him , as he claims to be the korean 007 ( that's secret agent james bond ) . 	for example , he is hanging off a roof and he humorously taunts his foes to come and get him , as he claims to be the korean 007 ( that's secret agent james bond ) .	3	-3	 for[0] example[0] he[0] is[0] hanging[0] off[0] a[0] roof[0] and[0] he[0] humorously[2] taunts[-1] his[0] foes[-2] to[0] come[0] and[0] get[0] him[0] as[0] he[0] claims[0] to[0] be[0] the[0] korean[0] 007[0] that's[0] secret[0] agent[0] james[0] bond[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
even the plot to this film improved above the others , as a sort-of twisted nuclear-weapon smuggling deal is botched and jackie takes the blame . 	even the plot to this film improved above the others , as a sort-of twisted nuclear-weapon smuggling deal is botched and jackie takes the blame .	2	-2	 even[0] the[0] plot[0] to[0] this[0] film[0] improved[1] above[0] the[0] others[0] as[0] a[0] sort[0] of[0] twisted[0] nuclear[0] weapon[-1] smuggling[-1] deal[0] is[0] botched[0] and[0] jackie[0] takes[0] the[0] blame[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but never fear , as the chinese mafia aids him in uncovering the truth behind the incident . 	but never fear , as the chinese mafia aids him in uncovering the truth behind the incident .	4	-1	 but[0] never[0] fear[-3][NegatedDueToPreviousWord] as[0] the[0] chinese[0] mafia[0] aids[0] him[0] in[0] uncovering[0] the[0] truth[1] behind[0] the[0] incident[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
with some of the most high-flying stunts and side-splitting comedy , first strike is a sure-fire hit that's guaranteed to draw some major , world-wide attention . 	with some of the most high-flying stunts and side-splitting comedy , first strike is a sure-fire hit that's guaranteed to draw some major , world-wide attention .	1	-2	 with[0] some[0] of[0] the[0] most[0] high[0] flying[0] stunts[0] and[0] side[0] splitting[0] comedy[0] first[0] strike[-1] is[0] a[0] sure[0] fire[0] hit[0] that's[0] guaranteed[0] to[0] draw[0] some[0] major[0] world[0] wide[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 , 	 ,	1	-1	[[[0,0 max of sentences]]]
