warning ! : may contain some mild spoilers and offensive material . 	Translation	Positive	Negative	EmotionRationale
rated : r ( ! ) for sexual content , crude and sexual humor , and some nudity . . 	rated : are ( !<br> ) for sexual content , crude and sexual humor , and some nudity .<br> .	3	-2	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]] for[0] sexual[0] content[0] crude[-1] and[0] sexual[0] humor[2] and[0] some[0] nudity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( a mild r rating ) 	 ( a mild are rating )	1	-1	 a[0] mild[0] r[0] rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring : rob schneider , oded fehr , eddie griffin , arija bareikis , amy poehler , norm mcdonald . 	starring : rob schneider , oded fehr , eddie griffin , arija bareikis , amy poehler , norm mcdonald .	1	-1	 starring[0] rob[0] schneider[0] oded[0] fehr[0] eddie[0] griffin[0] arija[0] bareikis[0] amy[0] poehler[0] norm[0] mcdonald[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
running time : 88 minutes 	running time : 88 minutes	1	-1	 running[0] time[0] 88[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " deuce bigalow : male gigolo " is simply a hilarious good-natured comedy that may offend some , but underneath all it's crude humor and sexual content is a sweet little love story that is surprisingly involving . 	 " deuce bigalow : male gigolo " is simply a hilarious good-natured comedy that may offend some , but underneath all it's crude humor and sexual content is a sweet little love story that is surprisingly involving .	3	-2	 deuce[0] bigalow[0] male[0] gigolo[0] is[0] simply[0] a[0] hilarious[2] good[1] natured[0] comedy[0] that[0] may[0] offend[-2][--1 LastWordBoosterStrength] some[0] but[0] underneath[0] all[0] it's[0] crude[-1] humor[2] and[0] sexual[0] content[0] is[0] a[0] sweet[1] little[0] love[2] story[0] that[0] is[0] surprisingly[0] involving[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it isn't any kind of cinematic classic , but it's a very very funny comedy that keeps us entertained until the end credits which themselves are funny too . 	it isn't any kind of cinematic classic , but it's a very very funny comedy that keeps us entertained until the end credits which themselves are funny too .	3	-2	 it[0] isn't[0] any[0] kind[1][NegatedDueToPreviousWord] of[0] cinematic[0] classic[0] but[0] it's[0] a[0] very[0] very[0] funny[1][1 LastWordBoosterStrength] comedy[0] that[0] keeps[0] us[0] entertained[0] until[0] the[0] end[0] credits[0] which[0] themselves[0] are[0] funny[1] too[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it has all it needs to be a breezy entertaining comedy : the acting is up to pace and some of the performances quite funny , the screenplay is witty and smart , and the whole story is sweet and cute . 	it has all it needs to be a breezy entertaining comedy : the acting is up to pace and some of the performances quite funny , the screenplay is witty and smart , and the whole story is sweet and cute .	2	-1	 it[0] has[0] all[0] it[0] needs[0] to[0] be[0] a[0] breezy[0] entertaining[0] comedy[0] the[0] acting[0] is[0] up[0] to[0] pace[0] and[0] some[0] of[0] the[0] performances[0] quite[0] funny[1] the[0] screenplay[0] is[0] witty[0] and[0] smart[1] and[0] the[0] whole[0] story[0] is[0] sweet[1] and[0] cute[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
deuce bigalow ( rob schneider ) is your typically average guy : he cleans fish tanks for a living and gets an average of 10 bucks for it . 	deuce bigalow ( rob schneider ) is your typically average guy : he cleans fish tanks for a living and gets an average of 10 bucks for it .	1	-1	 deuce[0] bigalow[0] rob[0] schneider[0] is[0] your[0] typically[0] average[0] guy[0] he[0] cleans[0] fish[0] tanks[0] for[0] a[0] living[0] and[0] gets[0] an[0] average[0] of[0] 10[0] bucks[0] for[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
though one might call him a loser , deuce gets a job he would never thought he would get . 	though one might call him a loser , deuce gets a job he would never thought he would get .	1	-3	 though[0] one[0] might[0] call[0] him[0] a[0] loser[-2] deuce[0] gets[0] a[0] job[0] he[0] would[0] never[0] thought[0] he[0] would[0] get[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he gets to clean the tank for a male gigolo ( oded fehr ) and gets offered to watch over his place while he goes on a trip . 	he gets to clean the tank for a male gigolo ( oded fehr ) and gets offered to watch over his place while he goes on a trip .	1	-1	 he[0] gets[0] to[0] clean[0] the[0] tank[0] for[0] a[0] male[0] gigolo[0] oded[0] fehr[0] and[0] gets[0] offered[0] to[0] watch[0] over[0] his[0] place[0] while[0] he[0] goes[0] on[0] a[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
