now , lets first look into the history of shark films . 	Translation	Positive	Negative	EmotionRationale
there was the unforgettable jaws . 	there was the unforgettable jaws .	1	-1	 there[0] was[0] the[0] unforgettable[0] jaws[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the exciting jaws 2 . the rather flaky jaws 3d and sometime in the late 90s another film of the same genre that i can't seem to recall ( about the son of jaws returning to wreak revenge or something like that ) . 	the exciting jaws 2 .<br> the rather flaky jaws 3d and sometime in the late 90s another film of the same genre that i can't seem to recall ( about the son of jaws returning to wreak revenge or something like that ) .	3	-2	 the[0] exciting[2] jaws[0] 2[0] [[Sentence=-1,3=word max, 1-5]] the[0] rather[0] flaky[0] jaws[0] 3d[0] and[0] sometime[0] in[0] the[0] late[0] 90s[0] another[0] film[0] of[0] the[0] same[0] genre[0] that[0] i[0] can't[0] seem[0] to[0] recall[0] about[0] the[0] son[0] of[0] jaws[0] returning[0] to[0] wreak[0] revenge[-1] or[0] something[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[3,-2 max of sentences]]]
now , with the magic of cgi , one shark is simply not enough ; in deep blue sea , there are 3 big , mean and really smart ones ! 	now , with the magic of cgi , one shark is simply not enough ; in deep blue sea , there are 3 big , mean and really smart ones !	3	-2	 now[0] with[0] the[0] magic[0] of[0] cgi[0] one[0] shark[-1] is[0] simply[0] not[0] enough[0] in[0] deep[0] blue[0] sea[0] there[0] are[0] 3[0] big[0] mean[0] and[0] really[0] smart[1][1 LastWordBoosterStrength] ones[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
russell frankiln ( jackson ) visits aquatica ( a sea-bound research center ) , where a research is being conducted on the extraction of a hormone substance found uniquely within the shark brain that can cure and reverse the effects of alzheimer's disease . 	russell frankiln ( jackson ) visits aquatica ( a sea-bound research center ) , where a research is being conducted on the extraction of a hormone substance found uniquely within the shark brain that can cure and reverse the effects of alzheimer's disease .	1	-3	 russell[0] frankiln[0] jackson[0] visits[0] aquatica[0] a[0] sea[0] bound[0] research[0] center[0] where[0] a[0] research[0] is[0] being[0] conducted[0] on[0] the[0] extraction[0] of[0] a[0] hormone[0] substance[0] found[0] uniquely[0] within[0] the[0] shark[-1] brain[0] that[0] can[0] cure[0] and[0] reverse[0] the[0] effects[0] of[0] alzheimer's[0] disease[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the substance is small in quantity and because of this , lead researcher dr . susan macalaester genetically alters the shark dna and grows them twice the size with brains as big as humans , naturally producing more of the much treasured hormones . 	the substance is small in quantity and because of this , lead researcher dr .<br> susan macalaester genetically alters the shark dna and grows them twice the size with brains as big as humans , naturally producing more of the much treasured hormones .	2	-2	 the[0] substance[0] is[0] small[0] in[0] quantity[0] and[0] because[0] of[0] this[0] lead[0] researcher[0] dr[0] [[Sentence=-1,1=word max, 1-5]] susan[0] macalaester[0] genetically[0] alters[0] the[0] shark[-1] dna[0] and[0] grows[0] them[0] twice[0] the[0] size[0] with[0] brains[0] as[0] big[0] as[0] humans[0] naturally[0] producing[0] more[0] of[0] the[0] much[0] treasured[1] hormones[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as sure as the sun sets in the west , a shark breaks lose and wreaks havoc within the facility during a hormone extraction procedure . 	as sure as the sun sets in the west , a shark breaks lose and wreaks havoc within the facility during a hormone extraction procedure .	1	-2	 as[0] sure[0] as[0] the[0] sun[0] sets[0] in[0] the[0] west[0] a[0] shark[-1] breaks[0] lose[-1] and[0] wreaks[0] havoc[-1] within[0] the[0] facility[0] during[0] a[0] hormone[0] extraction[0] procedure[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the flexibility offered by cgi , the sharks get more full-length screen time as their predecessors did in those remote-controlled rubber suit days . 	with the flexibility offered by cgi , the sharks get more full-length screen time as their predecessors did in those remote-controlled rubber suit days .	1	-1	 with[0] the[0] flexibility[0] offered[0] by[0] cgi[0] the[0] sharks[0] get[0] more[0] full[0] length[0] screen[0] time[0] as[0] their[0] predecessors[0] did[0] in[0] those[0] remote[0] controlled[0] rubber[0] suit[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gone are the days of people getting pulled under the water with the water turning red right after . 	gone are the days of people getting pulled under the water with the water turning red right after .	1	-1	 gone[0] are[0] the[0] days[0] of[0] people[0] getting[0] pulled[0] under[0] the[0] water[0] with[0] the[0] water[0] turning[0] red[0] right[0] after[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this time , we get to see the entire gobbling action , with floating limbs and all . 	this time , we get to see the entire gobbling action , with floating limbs and all .	1	-1	 this[0] time[0] we[0] get[0] to[0] see[0] the[0] entire[0] gobbling[0] action[0] with[0] floating[0] limbs[0] and[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so-so acting , expected in most of your average action film . 	so-so acting , expected in most of your average action film .	1	-1	 so[0] so[0] acting[0] expected[0] in[0] most[0] of[0] your[0] average[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
