finding the courage to face life full-on is a difficult task . 	Translation	Positive	Negative	EmotionRationale
summoning up the audacity to fall in love is a harder job . 	summoning up the audacity to fall in love is a harder job .	3	-1	 summoning[0] up[0] the[0] audacity[0] to[0] fall[0] in[0] love[2] is[0] a[0] harder[0] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if you're a total jerk like melvin udall is , the odds are even more against you . 	if you're a total jerk like melvin udall is , the odds are even more against you .	2	-4	 if[0] you're[0] a[0] total[0] jerk[-2][-1 LastWordBoosterStrength] like[1] melvin[0] udall[0] is[0] the[0] odds[0] are[0] even[0] more[0] against[-1] you[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
melvin ( jack nicholson ) is a successful romance author who is just the opposite of what you would expect someone in that profession to be . 	melvin ( jack nicholson ) is a successful romance author who is just the opposite of what you would expect someone in that profession to be .	5	-1	 melvin[0] jack[0] nicholson[0] is[0] a[0] successful[2] romance[3][+1 MultiplePositiveWords] author[0] who[0] is[0] just[0] the[0] opposite[0] of[0] what[0] you[0] would[0] expect[0] someone[0] in[0] that[0] profession[0] to[0] be[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
a solitary man hidden away in his new york apartment with no human interaction and not even a hint of ever having been in a passionate relationship , he avoids the outside world as much as possible . 	a solitary man hidden away in his new york apartment with no human interaction and not even a hint of ever having been in a passionate relationship , he avoids the outside world as much as possible .	3	-2	 a[0] solitary[0] man[0] hidden[0] away[0] in[0] his[0] new[0] york[0] apartment[0] with[0] no[0] human[0] interaction[0] and[0] not[0] even[0] a[0] hint[0] of[0] ever[0] having[0] been[0] in[0] a[0] passionate[2] relationship[0] he[0] avoids[-1] the[0] outside[0] world[0] as[0] much[0] as[0] possible[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
his obsessive-compulsive disorder rules his life as he uses several different bars of soap to wash his hands and refuses to step on a crack on the sidewalk . 	his obsessive-compulsive disorder rules his life as he uses several different bars of soap to wash his hands and refuses to step on a crack on the sidewalk .	1	-3	 his[0] obsessive[-2] compulsive[0] disorder[-1] rules[0] his[0] life[0] as[0] he[0] uses[0] several[0] different[0] bars[0] of[0] soap[0] to[0] wash[0] his[0] hands[0] and[0] refuses[-1] to[0] step[0] on[0] a[0] crack[0] on[0] the[0] sidewalk[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( there's a great scene when he has to cross a floor made of mosaic tiles -- _very_small_ mosaic tiles . ) 	 ( there's a great scene when he has to cross a floor made of mosaic tiles - _very_small_ mosaic tiles .<br> )	3	-2	 there's[0] a[0] great[2] scene[0] when[0] he[0] has[0] to[0] cross[-1] a[0] floor[0] made[0] of[0] mosaic[0] tiles[0] _very_small_[0] mosaic[0] tiles[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
melvin has some great lines . 	melvin has some great lines .	2	-1	 melvin[0] has[0] some[0] great[2][-1 LastWordBoosterStrength] lines[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when his publisher's receptionist asks him how he writes women so well in his books , he responds " i think of men and i take away reason and accountability . " 	when his publisher's receptionist asks him how he writes women so well in his books , he responds " i think of men and i take away reason and accountability .<br> "	1	-1	 when[0] his[0] publisher's[0] receptionist[0] asks[0] him[0] how[0] he[0] writes[0] women[0] so[0] well[0] in[0] his[0] books[0] he[0] responds[0] i[0] think[0] of[0] men[0] and[0] i[0] take[0] away[0] reason[0] and[0] accountability[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't get him wrong , he's not merely a misogynist . 	don't get him wrong , he's not merely a misogynist .	1	-2	 don't[0] get[0] him[0] wrong[-1] he's[0] not[0] merely[0] a[0] misogynist[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
setting his sights higher than that , he's also a homophobe , racist , anti-semite , xenophobe , animal-hater and intensely dislikes people who talk in metaphors . 	setting his sights higher than that , he's also a homophobe , racist , anti-semite , xenophobe , animal-hater and intensely dislikes people who talk in metaphors .	1	-4	 setting[0] his[0] sights[0] higher[0] than[0] that[0] he's[0] also[0] a[0] homophobe[0] racist[-1] anti[0] semite[0] xenophobe[0] animal[0] hater[-3] and[0] intensely[0] dislikes[-2] people[0] who[0] talk[0] in[0] metaphors[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
