charlie sheen stars as zane , a radio astronomer who listens for sounds from other lifeforms . 	Translation	Positive	Negative	EmotionRationale
when he finally gets one , his boss destroys the tape and fires him . 	when he finally gets one , his boss destroys the tape and fires him .	1	-3	 when[0] he[0] finally[0] gets[0] one[0] his[0] boss[0] destroys[-2] the[0] tape[0] and[0] fires[0] him[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
naturally , zane is not ready to give up , and he comes up with an ingenious way to do this himself . 	naturally , zane is not ready to give up , and he comes up with an ingenious way to do this himself .	1	-1	 naturally[0] zane[0] is[0] not[0] ready[0] to[0] give[0] up[0] and[0] he[0] comes[0] up[0] with[0] an[0] ingenious[0] way[0] to[0] do[0] this[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is aided by a young neighborhood kid and they discover that the sound is coming from mexico . 	he is aided by a young neighborhood kid and they discover that the sound is coming from mexico .	1	-1	 he[0] is[0] aided[0] by[0] a[0] young[0] neighborhood[0] kid[0] and[0] they[0] discover[0] that[0] the[0] sound[0] is[0] coming[0] from[0] mexico[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so zane goes down there to investigate , and runs into a lady studying why the temperature of the earth has dangerously risen so suddenly . 	so zane goes down there to investigate , and runs into a lady studying why the temperature of the earth has dangerously risen so suddenly .	1	-2	 so[0] zane[0] goes[0] down[0] there[0] to[0] investigate[0] and[0] runs[0] into[0] a[0] lady[0] studying[0] why[0] the[0] temperature[0] of[0] the[0] earth[0] has[0] dangerously[-1] risen[0] so[0] suddenly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
zane is having marital problems at the time , and an offer by her to spend the night with him is very tempting . 	zane is having marital problems at the time , and an offer by her to spend the night with him is very tempting .	1	-2	 zane[0] is[0] having[0] marital[0] problems[-1] at[0] the[0] time[0] and[0] an[0] offer[0] by[0] her[0] to[0] spend[0] the[0] night[0] with[0] him[0] is[0] very[0] tempting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hearing charlie sheen deliver the line , " i guess there is something to be said for celibacy " is the funniest thing i have ever heard in a movie since matthew broderick discussed asexual reproduction in wargames . 	hearing charlie sheen deliver the line , " i guess there is something to be said for celibacy " is the funniest thing i have ever heard in a movie since matthew broderick discussed asexual reproduction in wargames .	2	-1	 hearing[0] charlie[0] sheen[0] deliver[0] the[0] line[0] i[0] guess[0] there[0] is[0] something[0] to[0] be[0] said[0] for[0] celibacy[0] is[0] the[0] funniest[1] thing[0] i[0] have[0] ever[0] heard[0] in[0] a[0] movie[0] since[0] matthew[0] broderick[0] discussed[0] asexual[0] reproduction[0] in[0] wargames[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is just the setup , and i don't want to give too much away , because a large part of the movies fun is the surprises . 	this is just the setup , and i don't want to give too much away , because a large part of the movies fun is the surprises .	2	-1	 this[0] is[0] just[0] the[0] setup[0] and[0] i[0] don't[0] want[0] to[0] give[0] too[0] much[0] away[0] because[0] a[0] large[0] part[0] of[0] the[0] movies[0] fun[1] is[0] the[0] surprises[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
charlie sheen , who has had a rocky career as of late , is in top form here . 	charlie sheen , who has had a rocky career as of late , is in top form here .	1	-1	 charlie[0] sheen[0] who[0] has[0] had[0] a[0] rocky[0] career[0] as[0] of[0] late[0] is[0] in[0] top[0] form[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is funny , serious , and determined to accomplish his goal . 	he is funny , serious , and determined to accomplish his goal .	2	-2	 he[0] is[0] funny[1] serious[-1] and[0] determined[0] to[0] accomplish[1] his[0] goal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sheen's absolutely terrific performance is another big plus to this movie . 	sheen's absolutely terrific performance is another big plus to this movie .	5	-1	 sheen's[0] absolutely[0] terrific[3][1 LastWordBoosterStrength] performance[0] is[0] another[0] big[0] plus[0] to[0] this[0] movie[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
the story is ingeniously devised by twohy , who also wrote and directed the equally clever cable movie grand tour : disaster in time . 	the story is ingeniously devised by twohy , who also wrote and directed the equally clever cable movie grand tour : disaster in time .	2	-2	 the[0] story[0] is[0] ingeniously[0] devised[0] by[0] twohy[0] who[0] also[0] wrote[0] and[0] directed[0] the[0] equally[0] clever[0] cable[0] movie[0] grand[1] tour[0] disaster[-1] in[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the films major flaw is a very slow pace , and not much happens in the earlygoings . 	the films major flaw is a very slow pace , and not much happens in the earlygoings .	1	-2	 the[0] films[0] major[0] flaw[-1] is[0] a[0] very[0] slow[0] pace[0] and[0] not[0] much[0] happens[0] in[0] the[0] earlygoings[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
viewers may be growing restless for a while , but trust me if you stick around and keep your head in it , you will have a good time . 	viewers may be growing restless for a while , but trust me if you stick around and keep your head in it , you will have a good time .	2	-2	 viewers[0] may[0] be[0] growing[0] restless[-1] for[0] a[0] while[0] but[0] trust[1] me[0] if[0] you[0] stick[0] around[0] and[0] keep[0] your[0] head[0] in[0] it[0] you[0] will[0] have[0] a[0] good[1] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
