the premise of wag the dog is so simple that it's adequately explained by the commercials . 	Translation	Positive	Negative	EmotionRationale
with 11 days to go until the election , the president ( who we never see ) calls in political dirty-tricks artist robert deniro to distract attention from a burgeoning sex scandal . 	with 11 days to go until the election , the president ( who we never see ) calls in political dirty-tricks artist robert deniro to distract attention from a burgeoning sex scandal .	1	-3	 with[0] 11[0] days[0] to[0] go[0] until[0] the[0] election[0] the[0] president[0] who[0] we[0] never[0] see[0] calls[0] in[0] political[0] dirty[-1] tricks[-1] artist[0] robert[0] deniro[0] to[0] distract[-1] attention[0] from[0] a[0] burgeoning[0] sex[0] scandal[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
deniro enlists hollywood producer dustin hoffman to produce a " pageant " , a phony war against albania , fought on the blue screens of hollywood and the recording studios of nashville , with woody harrelson as the reluctant , psychotic hero . 	deniro enlists hollywood producer dustin hoffman to produce a " pageant " , a phony war against albania , fought on the blue screens of hollywood and the recording studios of nashville , with woody harrelson as the reluctant , psychotic hero .	3	-3	 deniro[0] enlists[0] hollywood[0] producer[0] dustin[0] hoffman[0] to[0] produce[0] a[0] pageant[0] a[0] phony[0] war[-2] against[-1] albania[0] fought[-2] on[0] the[0] blue[0] screens[0] of[0] hollywood[0] and[0] the[0] recording[0] studios[0] of[0] nashville[0] with[0] woody[0] harrelson[0] as[0] the[0] reluctant[-1] psychotic[0] hero[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
and if there wasn't anything more to the movie than this , it would be a second-rate heist comedy at best , enlivened by great actors -- like sneakers goes to washington . 	and if there wasn't anything more to the movie than this , it would be a second-rate heist comedy at best , enlivened by great actors - like sneakers goes to washington .	3	-2	 and[0] if[0] there[0] wasn't[0] anything[0] more[0] to[0] the[0] movie[0] than[0] this[0] it[0] would[0] be[0] a[0] second[0] rate[0] heist[0] comedy[0] at[0] best[1] enlivened[0] by[0] great[2] actors[0] like[1] sneakers[-1] goes[0] to[0] washington[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( a heist comedy ? 	 ( a heist comedy ?	1	-1	 a[0] heist[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yup . 	yup .	1	-1	 yup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
deniro and hoffman are " stealing " the election , so to speak , and the movie is more about how they do it -- and the fun they have doing it -- than anything else . ) 	deniro and hoffman are " stealing " the election , so to speak , and the movie is more about how they do it - and the fun they have doing it - than anything else .<br> )	2	-3	 deniro[0] and[0] hoffman[0] are[0] stealing[-2] the[0] election[0] so[0] to[0] speak[0] and[0] the[0] movie[0] is[0] more[0] about[0] how[0] they[0] do[0] it[0] and[0] the[0] fun[1] they[0] have[0] doing[0] it[0] than[0] anything[0] else[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wag the dog succeeds because it's based one great truth : the american people are stupid . 	wag the dog succeeds because it's based one great truth : the american people are stupid .	3	-2	 wag[0] the[0] dog[0] succeeds[2] because[0] it's[0] based[0] one[0] great[2] truth[1] the[0] american[0] people[0] are[0] stupid[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ok , maybe it's not " love thy neighbor as thyself " or even " two plus two makes four " , but a truth nonetheless . 	ok , maybe it's not " love thy neighbor as thyself " or even " two plus two makes four " , but a truth nonetheless .	2	-3	 ok[0] maybe[0] it's[0] not[0] love[2][NegatedDueToPreviousWord] thy[0] neighbor[0] as[0] thyself[0] or[0] even[0] two[0] plus[0] two[0] makes[0] four[0] but[0] a[0] truth[1] nonetheless[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( any average person who thinks that they're really smart about the two things this movie satirizes -- moviemaking and the political process -- is invited , nay , challenged , to spend a week either watching a movie actually being made or 48 hours straight watching c-span when the house is in session . ) 	 ( any average person who thinks that they're really smart about the two things this movie satirizes - moviemaking and the political process - is invited , nay , challenged , to spend a week either watching a movie actually being made or 48 hours straight watching c-span when the house is in session .<br> )	3	-2	 any[0] average[0] person[0] who[0] thinks[0] that[0] they're[0] really[0] smart[1][1 LastWordBoosterStrength] about[0] the[0] two[0] things[0] this[0] movie[0] satirizes[0] moviemaking[0] and[0] the[0] political[0] process[0] is[0] invited[0] nay[0] challenged[-1] to[0] spend[0] a[0] week[0] either[0] watching[0] a[0] movie[0] actually[0] being[0] made[0] or[0] 48[0] hours[0] straight[0] watching[0] c[0] span[0] when[0] the[0] house[0] is[0] in[0] session[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and because we're so utterly , predictably stupid , hollywood knows that a certain percentage of us will go see hard rain or magoo , washington knows that we won't notice a few million dollars spent here and there on porno art grants and cigar subsidies -- and deniro's character knows that american geography skills are so weak that we won't be able to locate albania on the map . 	and because we're so utterly , predictably stupid , hollywood knows that a certain percentage of us will go see hard rain or magoo , washington knows that we won't notice a few million dollars spent here and there on porno art grants and cigar subsidies - and deniro's character knows that american geography skills are so weak that we won't be able to locate albania on the map .	1	-2	 and[0] because[0] we're[0] so[0] utterly[0] predictably[0] stupid[-1] hollywood[0] knows[0] that[0] a[0] certain[0] percentage[0] of[0] us[0] will[0] go[0] see[0] hard[0] rain[0] or[0] magoo[0] washington[0] knows[0] that[0] we[0] won't[0] notice[0] a[0] few[0] million[0] dollars[0] spent[0] here[0] and[0] there[0] on[0] porno[0] art[0] grants[0] and[0] cigar[0] subsidies[0] and[0] deniro's[0] character[0] knows[0] that[0] american[0] geography[0] skills[0] are[0] so[0] weak[-1] that[0] we[0] won't[0] be[0] able[0] to[0] locate[0] albania[0] on[0] the[0] map[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
