hollywood is a pimp . 	Translation	Positive	Negative	EmotionRationale
a fat , cigar-smoking chump wearing a fur hat and 12 gold chains around its fat , hairy chest . 	a fat , cigar-smoking chump wearing a fur hat and 12 gold chains around its fat , hairy chest .	1	-2	 a[0] fat[-1] cigar[0] smoking[0] chump[0] wearing[0] a[0] fur[0] hat[0] and[0] 12[0] gold[0] chains[0] around[0] its[0] fat[-1] hairy[0] chest[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of its stars and starlets are an evil brood of scum-sucking vampires looking for the next percentage take , the next summer blockbuster , the next casting couch to audition on . 	all of its stars and starlets are an evil brood of scum-sucking vampires looking for the next percentage take , the next summer blockbuster , the next casting couch to audition on .	1	-3	 all[0] of[0] its[0] stars[0] and[0] starlets[0] are[0] an[0] evil[-2] brood[-1] of[0] scum[-2] sucking[0] vampires[0] looking[0] for[0] the[0] next[0] percentage[0] take[0] the[0] next[0] summer[0] blockbuster[-1] the[0] next[0] casting[0] couch[0] to[0] audition[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
pumping out comic-book adaptations , terrible sequels to mediocre films , and remakes of foreign films to the nearest american movie multiplex mall theater equipped with thin walls and bad sound systems . 	pumping out comic-book adaptations , terrible sequels to mediocre films , and remakes of foreign films to the nearest american movie multiplex mall theater equipped with thin walls and bad sound systems .	1	-4	 pumping[0] out[0] comic[0] book[0] adaptations[0] terrible[-3] sequels[0] to[0] mediocre[-1] films[0] and[0] remakes[0] of[0] foreign[-1] films[0] to[0] the[0] nearest[0] american[0] movie[0] multiplex[0] mall[0] theater[0] equipped[0] with[0] thin[0] walls[0] and[0] bad[-1] sound[0] systems[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how much longer can the works of peckinpah , fassbinder , fuller , castle , preminger , and lee be placed and forgotten in the wrong sections of the local blockbuster stores ? 	how much longer can the works of peckinpah , fassbinder , fuller , castle , preminger , and lee be placed and forgotten in the wrong sections of the local blockbuster stores ?	1	-2	 how[0] much[0] longer[0] can[0] the[0] works[0] of[0] peckinpah[0] fassbinder[0] fuller[0] castle[0] preminger[0] and[0] lee[0] be[0] placed[0] and[0] forgotten[0] in[0] the[0] wrong[-1] sections[0] of[0] the[0] local[0] blockbuster[-1] stores[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how many more silver and weinstein films can we enduring in this stinky , decaying state of american cinema ? 	how many more silver and weinstein films can we enduring in this stinky , decaying state of american cinema ?	1	-3	 how[0] many[0] more[0] silver[0] and[0] weinstein[0] films[0] can[0] we[0] enduring[0] in[0] this[0] stinky[-2] decaying[-1] state[0] of[0] american[0] cinema[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but now , from john " i don't give a shit what you think about my movies " waters , comes the siren call to all frustrated filmmakers and aficionados : cecil b . demented , a warped and twisted tale of how far a filmmaker will go to create a personal vision of internal and social revolution . 	but now , from john " i don't give a shit what you think about my movies " waters , comes the siren call to all frustrated filmmakers and aficionados : cecil b .<br> demented , a warped and twisted tale of how far a filmmaker will go to create a personal vision of internal and social revolution .	1	-3	 but[0] now[0] from[0] john[0] i[0] don't[0] give[0] a[0] shit[-1] what[0] you[0] think[0] about[0] my[0] movies[0] waters[0] comes[0] the[0] siren[0] call[0] to[0] all[0] frustrated[-2] filmmakers[0] and[0] aficionados[0] cecil[0] b[0] [[Sentence=-3,1=word max, 1-5]] demented[0] a[0] warped[-1] and[0] twisted[0] tale[0] of[0] how[0] far[0] a[0] filmmaker[0] will[0] go[0] to[0] create[0] a[0] personal[0] vision[0] of[0] internal[0] and[0] social[0] revolution[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
stephen dorff , in a career-defining role , is cecil b . demented , a crazed director devoted to making the most radical underground film . 	stephen dorff , in a career-defining role , is cecil b .<br> demented , a crazed director devoted to making the most radical underground film .	3	-2	 stephen[0] dorff[0] in[0] a[0] career[0] defining[0] role[0] is[0] cecil[0] b[0] [[Sentence=-1,1=word max, 1-5]] demented[0] a[0] crazed[0] director[0] devoted[2] to[0] making[0] the[0] most[0] radical[-1] underground[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
together with his film production cult , the sprocket holes - who wear tattoos of peckinpah , lee , fuller , castle , anger , fassbinder , preminger on various parts of their bodies as badges of honor , they kidnap a hollywood movie starlet , played with perfect ridiculousness by melaine griffith , and force her to take the starring role in demented's film . 	together with his film production cult , the sprocket holes - who wear tattoos of peckinpah , lee , fuller , castle , anger , fassbinder , preminger on various parts of their bodies as badges of honor , they kidnap a hollywood movie starlet , played with perfect ridiculousness by melaine griffith , and force her to take the starring role in demented's film .	2	-4	 together[0] with[0] his[0] film[0] production[0] cult[0] the[0] sprocket[0] holes[0] who[0] wear[0] tattoos[0] of[0] peckinpah[0] lee[0] fuller[0] castle[0] anger[-3] fassbinder[0] preminger[0] on[0] various[0] parts[0] of[0] their[0] bodies[0] as[0] badges[0] of[0] honor[0] they[0] kidnap[-1] a[0] hollywood[0] movie[0] starlet[0] played[0] with[0] perfect[1] ridiculousness[-2] by[0] melaine[0] griffith[0] and[0] force[-1] her[0] to[0] take[0] the[0] starring[0] role[0] in[0] demented's[0] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
with no budget and no contracts for extras , demented and his crew take to the streets for production of raving beauty , a crass terrorist film about an angry owner of an independent theater and her brood out to destroy the mainstream film business . 	with no budget and no contracts for extras , demented and his crew take to the streets for production of raving beauty , a crass terrorist film about an angry owner of an independent theater and her brood out to destroy the mainstream film business .	3	-4	 with[0] no[0] budget[0] and[0] no[0] contracts[0] for[0] extras[0] demented[0] and[0] his[0] crew[0] take[0] to[0] the[0] streets[0] for[0] production[0] of[0] raving[0] beauty[2] a[0] crass[-1] terrorist[-2] film[0] about[0] an[0] angry[-3] owner[0] of[0] an[0] independent[0] theater[0] and[0] her[0] brood[-1] out[0] to[0] destroy[-2] the[0] mainstream[0] film[0] business[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
using " ultimate reality " - with real bullets , real people , and real terror - demented and his crew of misfits attack a mall theater , terrorize the maryland film commission and crash a movie studio shooting a certain sequel to a really annoying tom hanks film . 	using " ultimate reality " - with real bullets , real people , and real terror - demented and his crew of misfits attack a mall theater , terrorize the maryland film commission and crash a movie studio shooting a certain sequel to a really annoying tom hanks film .	1	-4	 using[0] ultimate[0] reality[0] with[0] real[0] bullets[-1] real[0] people[0] and[0] real[0] terror[-1] demented[0] and[0] his[0] crew[0] of[0] misfits[0] attack[-2] a[0] mall[0] theater[0] terrorize[-2] the[0] maryland[0] film[0] commission[0] and[0] crash[0] a[0] movie[0] studio[0] shooting[-1] a[0] certain[0] sequel[0] to[0] a[0] really[0] annoying[-2][-1 LastWordBoosterStrength] tom[0] hanks[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
