the happy bastard's 30-second review : 	Translation	Positive	Negative	EmotionRationale
american pie 	american pie	1	-1	 american[0] pie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the summer of raunch continues to spread into theatres with this latest yuk fest , filled with sick jokes and teen dialogue aplenty . 	the summer of raunch continues to spread into theatres with this latest yuk fest , filled with sick jokes and teen dialogue aplenty .	2	-2	 the[0] summer[0] of[0] raunch[0] continues[0] to[0] spread[0] into[0] theatres[0] with[0] this[0] latest[0] yuk[0] fest[0] filled[0] with[0] sick[-1] jokes[1] and[0] teen[0] dialogue[0] aplenty[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you go expecting dawson's creek , you're in for a problem . 	if you go expecting dawson's creek , you're in for a problem .	1	-2	 if[0] you[0] go[0] expecting[0] dawson's[0] creek[0] you're[0] in[0] for[0] a[0] problem[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if your expectations are lower ( and better , i might add ) , you will enjoy the hell out of american pie . 	if your expectations are lower ( and better , i might add ) , you will enjoy the hell out of american pie .	3	-2	 if[0] your[0] expectations[0] are[0] lower[0] and[0] better[0] i[0] might[0] add[0] you[0] will[0] enjoy[2] the[0] hell[-1] out[0] of[0] american[0] pie[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie casts several unknowns , with the only real recognizable one being sctv's own eugene levy as a happy-go-lucky dad . 	the movie casts several unknowns , with the only real recognizable one being sctv's own eugene levy as a happy-go-lucky dad .	2	-1	 the[0] movie[0] casts[0] several[0] unknowns[0] with[0] the[0] only[0] real[0] recognizable[0] one[0] being[0] sctv's[0] own[0] eugene[0] levy[0] as[0] a[0] happy[1] go[0] lucky[1] dad[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story revolves around four high school seniors who have one goal before the school year gets out- get laid . 	the story revolves around four high school seniors who have one goal before the school year gets out- get laid .	1	-1	 the[0] story[0] revolves[0] around[0] four[0] high[0] school[0] seniors[0] who[0] have[0] one[0] goal[0] before[0] the[0] school[0] year[0] gets[0] out[0] get[0] laid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's pretty much it . 	that's pretty much it .	3	-1	 that's[0] pretty[2] much[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
throughout the movie , little sick comic bits are sprinkled throughout , including a memorable scene involving an apple pie ( i won't give it away , but you probably know what it is ) and an internet broadcast gone horribly awry . 	throughout the movie , little sick comic bits are sprinkled throughout , including a memorable scene involving an apple pie ( i won't give it away , but you probably know what it is ) and an internet broadcast gone horribly awry .	1	-4	 throughout[0] the[0] movie[0] little[0] sick[-1] comic[0] bits[0] are[0] sprinkled[0] throughout[0] including[0] a[0] memorable[0] scene[0] involving[0] an[0] apple[0] pie[0] i[0] won't[0] give[0] it[0] away[0] but[0] you[0] probably[0] know[0] what[0] it[0] is[0] and[0] an[0] internet[0] broadcast[0] gone[0] horribly[-3] awry[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
of course , the movie has some slightly sentimental bits , but they don't drag the movie's humor content down that bad . 	of course , the movie has some slightly sentimental bits , but they don't drag the movie's humor content down that bad .	3	-2	 of[0] course[0] the[0] movie[0] has[0] some[0] slightly[0] sentimental[2][-1 LastWordBoosterStrength] bits[0] but[0] they[0] don't[0] drag[-1][NegatedDueToPreviousWord] the[0] movie's[0] humor[2] content[0] down[0] that[0] bad[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
most of the actors get their job done , but it's levy who's a hoot , a father who tries to talk sex with his son with the help of some curious " visual aids " . 	most of the actors get their job done , but it's levy who's a hoot , a father who tries to talk sex with his son with the help of some curious " visual aids " .	1	-1	 most[0] of[0] the[0] actors[0] get[0] their[0] job[0] done[0] but[0] it's[0] levy[0] who's[0] a[0] hoot[0] a[0] father[0] who[0] tries[0] to[0] talk[0] sex[0] with[0] his[0] son[0] with[0] the[0] help[0] of[0] some[0] curious[0] visual[0] aids[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i couldn't stop laughing during this movie , and if you can stand all the raunch and the sex references , then american pie is for you . 	i couldn't stop laughing during this movie , and if you can stand all the raunch and the sex references , then american pie is for you .	1	-2	 i[0] couldn't[0] stop[0] laughing[1][NegatedDueToPreviousWord] during[0] this[0] movie[0] and[0] if[0] you[0] can[0] stand[0] all[0] the[0] raunch[0] and[0] the[0] sex[0] references[0] then[0] american[0] pie[0] is[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're one of those " conservative " types , well , i'll bet you're having fun at home while this , south park , and austin powers ii plays in theatres , now aren't you ? 	if you're one of those " conservative " types , well , i'll bet you're having fun at home while this , south park , and austin powers i plays in theatres , now aren't you ?	2	-1	 if[0] you're[0] one[0] of[0] those[0] conservative[0] types[0] well[0] i'll[0] bet[0] you're[0] having[0] fun[1] at[0] home[0] while[0] this[0] south[0] park[0] and[0] austin[0] powers[0] ii/i[0] plays[1] in[0] theatres[0] now[0] aren't[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
