the party is one of those classic slapstick comedies that will leave you , at times , cracking up . 	Translation	Positive	Negative	EmotionRationale
the film takes place , for the most part , in real-time during an exclusive evening party that is attended only by the biggest names in hollywood . 	the film takes place , for the most part , in real-time during an exclusive evening party that is attended only by the biggest names in hollywood .	1	-1	 the[0] film[0] takes[0] place[0] for[0] the[0] most[0] part[0] in[0] real[0] time[0] during[0] an[0] exclusive[0] evening[0] party[0] that[0] is[0] attended[0] only[0] by[0] the[0] biggest[0] names[0] in[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hrundi v . bakshi , played very well by peter sellers , is a struggling actor who just came to america from his homeland , india . 	hrundi v .<br> bakshi , played very well by peter sellers , is a struggling actor who just came to america from his homeland , india .	1	-2	 hrundi[0] v[0] [[Sentence=-1,1=word max, 1-5]] bakshi[0] played[0] very[0] well[0] by[0] peter[0] sellers[0] is[0] a[0] struggling[-1] actor[0] who[0] just[0] came[0] to[0] america[0] from[0] his[0] homeland[0] india[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hrundi tries out his acting talents , but it seems that he just isn't cut out for the job . 	hrundi tries out his acting talents , but it seems that he just isn't cut out for the job .	2	-1	 hrundi[0] tries[0] out[0] his[0] acting[0] talents[1] but[0] it[0] seems[0] that[0] he[0] just[0] isn't[0] cut[0] out[0] for[0] the[0] job[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the set of his current film that he stars in , hrundi seems to make everything go for the worse . 	on the set of his current film that he stars in , hrundi seems to make everything go for the worse .	1	-3	 on[0] the[0] set[0] of[0] his[0] current[0] film[0] that[0] he[0] stars[0] in[0] hrundi[0] seems[0] to[0] make[0] everything[0] go[0] for[0] the[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
during the filming of this movie set in the 1800's , hrundi manages to annoy the director ( herbert ellis ) in any way he can . 	during the filming of this movie set in the 1800's , hrundi manages to annoy the director ( herbert ellis ) in any way he can .	1	-3	 during[0] the[0] filming[0] of[0] this[0] movie[0] set[0] in[0] the[0] 1800's[0] hrundi[0] manages[0] to[0] annoy[-2] the[0] director[0] herbert[0] ellis[0] in[0] any[0] way[0] he[0] can[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this includes a pitiful acting job in many scenes , wearing an underwater watch in one scene , and accidentally detonating a massive set . 	this includes a pitiful acting job in many scenes , wearing an underwater watch in one scene , and accidentally detonating a massive set .	1	-3	 this[0] includes[0] a[0] pitiful[-2] acting[0] job[0] in[0] many[0] scenes[0] wearing[0] an[0] underwater[0] watch[0] in[0] one[0] scene[0] and[0] accidentally[-1] detonating[0] a[0] massive[0] set[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
many of the hollywood producers and big names want hrundi out of the business forever . 	many of the hollywood producers and big names want hrundi out of the business forever .	1	-1	 many[0] of[0] the[0] hollywood[0] producers[0] and[0] big[0] names[0] want[0] hrundi[0] out[0] of[0] the[0] business[0] forever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when the director makes a personal phone call to mr . clutterbuck ( j . 	and when the director makes a personal phone call to mr .<br> clutterbuck ( j .	1	-2	 and[0] when[0] the[0] director[0] makes[0] a[0] personal[0] phone[0] call[0] to[0] mr[0] [[Sentence=-1,1=word max, 1-5]] clutterbuck[-1] j[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
edward mckinley ) pleading for hrundi's ejection from hollywood , everything is pretty much over for hrundi . 	edward mckinley ) pleading for hrundi's ejection from hollywood , everything is pretty much over for hrundi .	3	-1	 edward[0] mckinley[0] pleading[0] for[0] hrundi's[0] ejection[0] from[0] hollywood[0] everything[0] is[0] pretty[2] much[0] over[0] for[0] hrundi[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
clutterbuck writes his name down on a piece of paper to insure that hrundi will never again work in hollywood . 	clutterbuck writes his name down on a piece of paper to insure that hrundi will never again work in hollywood .	1	-2	 clutterbuck[-1] writes[0] his[0] name[0] down[0] on[0] a[0] piece[0] of[0] paper[0] to[0] insure[0] that[0] hrundi[0] will[0] never[0] again[0] work[0] in[0] hollywood[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
